episode_id,seed,scenario,split,environment_start,steps,task_decisions,teacher_solver_failures,h1_solver_failures,teacher_solve_ms_mean,teacher_solve_ms_p95,h1_solve_ms_mean,h1_solve_ms_p95,oracle_warning_count
high_load_trace__seed_3001,3001,high_load_trace,validation,2023-02-13T00:00:00+00:00,96,3471,0,0,4.4098864527768455,8.963250031229109,2.3601052052981686,3.2642000005580485,96
high_load_trace__seed_3002,3002,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,4.28538541624827,8.642225002404302,1.5815187592428022,3.5493500472512096,96
high_load_trace__seed_3003,3003,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,4.7490114472263185,8.407175017055124,3.0531229167536367,4.696250020060688,96
high_load_trace__seed_3004,3004,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,4.822785414338189,12.305624957662076,1.6435520871406577,3.474924946203828,96
high_load_trace__seed_3005,3005,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,4.480430203936218,10.650525015080348,4.002750002352211,11.769674951210618,96
high_load_trace__seed_3006,3006,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,4.035730207154605,8.466500032227486,1.4905802005766116,2.542374946642667,96
high_load_trace__seed_3007,3007,high_load_trace,test,2023-02-13T00:00:00+00:00,96,3471,0,0,4.352047921808359,8.26397503260523,2.261869793680186,3.125500079477206,96
high_load_trace__seed_3008,3008,high_load_trace,test,2023-02-13T00:00:00+00:00,96,3471,0,0,5.699609380826587,16.570800013141707,5.507073956929768,21.559599990723655,96
high_load_trace__seed_3009,3009,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,4.050262500337946,9.594899922376499,1.862408336213169,3.7564999365713447,96
high_load_trace__seed_3010,3010,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.8037614601004557,7.661049981834367,1.5979760379802126,2.7650500123854727,96
high_load_trace__seed_3011,3011,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,4.182262507432218,15.556000056676567,3.937140623747837,6.28124998183921,96
high_load_trace__seed_3012,3012,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,4.415651041199453,14.75390000268817,4.339306250282486,12.466799991670996,96
high_load_trace__seed_3013,3013,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,5.353196876967559,18.655299965757877,6.22597083565779,26.22054997482337,96
high_load_trace__seed_3014,3014,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.5366958278852203,7.101974973920733,1.6127229149181705,3.256049967603758,96
high_load_trace__seed_3015,3015,high_load_trace,test,2023-02-13T00:00:00+00:00,96,3471,0,0,4.137851037133562,10.715474985772744,1.837231245493361,4.36650007031858,96
high_load_trace__seed_3016,3016,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,4.0538499973384505,9.219825005857274,3.2074677025472433,5.912324966629967,96
high_load_trace__seed_3017,3017,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.7288656312739477,7.887550018494949,1.8059916656056885,3.184949920978397,96
high_load_trace__seed_3018,3018,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.5438437492606076,7.4427499785088,1.9399968684107687,3.5005499375984073,96
high_load_trace__seed_3019,3019,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.8197520916583017,8.480649965349585,1.7272791689417015,3.8732250104658306,96
high_load_trace__seed_3020,3020,high_load_trace,validation,2023-02-13T00:00:00+00:00,96,3471,0,0,3.723268750036368,7.9075250250753015,1.6934531267907005,3.397550026420504,96
high_load_trace__seed_3021,3021,high_load_trace,test,2023-02-13T00:00:00+00:00,96,3471,0,0,3.937630204745801,9.327050065621734,3.2626354235011,7.858400029363111,96
high_load_trace__seed_3022,3022,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.695854173808281,8.19415002479218,1.7386104191245977,3.9885500154923648,96
high_load_trace__seed_3023,3023,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.720869790413417,8.177924959454685,1.835430213153207,2.388100081589073,96
high_load_trace__seed_3024,3024,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.5056000015174504,7.078524969983846,1.7352406333278243,4.135724942898378,96
high_load_trace__seed_3025,3025,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,4.014622920900972,8.515724970493466,2.8690760482277256,4.259075038135052,96
high_load_trace__seed_3026,3026,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.703111462527886,7.697699969867244,1.5409052017882157,3.504724969388917,96
high_load_trace__seed_3027,3027,high_load_trace,validation,2023-02-13T00:00:00+00:00,96,3471,0,0,3.9678093720188676,12.38834991818294,4.32388123954297,6.762624980183318,96
high_load_trace__seed_3028,3028,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,4.1030677178544765,7.417275046464056,1.8861364527159215,3.727000002982095,96
high_load_trace__seed_3029,3029,high_load_trace,validation,2023-02-13T00:00:00+00:00,96,3471,0,0,3.7352270762009234,8.139524987200275,1.7622031239928522,4.3030000233557075,96
high_load_trace__seed_3030,3030,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.8885916607493223,7.691874983720481,2.054485408734763,4.5168000215198845,96
high_load_trace__seed_3031,3031,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,4.036697924069206,11.09462502063252,4.425180210091639,4.543374991044402,96
high_load_trace__seed_3032,3032,high_load_trace,validation,2023-02-13T00:00:00+00:00,96,3471,0,0,3.7242687455242653,7.906499959062785,1.734669796860544,4.131099965889007,96
high_load_trace__seed_3033,3033,high_load_trace,test,2023-02-13T00:00:00+00:00,96,3471,0,0,3.7724770857797316,7.860675017582253,1.4557947870343924,3.086025040829554,96
high_load_trace__seed_3034,3034,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.6018010456852303,7.601799909025431,1.8569531239336357,3.169624920701608,96
high_load_trace__seed_3035,3035,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.8954437526020533,7.32789997709915,2.2517822956918585,2.611725067254156,96
high_load_trace__seed_3036,3036,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.7311052098327004,7.821249979315326,1.963964585835735,4.530274920398369,96
high_load_trace__seed_3037,3037,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,3.5802645894970433,7.022850011708215,1.8839104122889694,4.347199952462688,96
high_load_trace__seed_3038,3038,high_load_trace,test,2023-02-13T00:00:00+00:00,96,3471,0,0,3.727533337951172,7.93807502486743,1.5467166667804122,2.8241999680176377,96
high_load_trace__seed_3039,3039,high_load_trace,train,2023-02-13T00:00:00+00:00,96,3471,0,0,4.018967712909216,11.023825034499168,2.089878119780527,4.4919499778188765,96
