dimension,group,task_count,true_p50_seconds,true_p90_seconds,true_p95_seconds,true_p99_seconds,true_max_seconds,estimated_p50_seconds,estimated_p90_seconds,estimated_p95_seconds,estimated_p99_seconds,estimated_max_seconds,absolute_error_mean_seconds,absolute_error_p50_seconds,absolute_error_p90_seconds,over_24h_rate,over_48h_rate,over_72h_rate
ALL,ALL,466867,1216.0,45773.40000000002,461465.29999999446,5663026.279999992,15897599.0,941.0,3200.0,3799.5,6693.0,28048.0,184876.30380172512,985.0,43616.80000000005,0.07943804124086731,0.06723113863262985,0.06003422816348125
priority,HP,415713,1101.0,58770.0,631952.7999999947,5972708.920000002,15897599.0,334.0,3054.0,3433.0,3925.0,28048.0,206056.49993264585,865.5,57370.0,0.08668961519124974,0.07410641476210751,0.06643044600481582
priority,Spot,51154,2095.5,21740.0,35864.0,186322.22000000166,5848226.0,2264.0,6230.5,7029.0,12189.5,15559.0,12751.291599874887,2095.0,17849.500000000065,0.020506705242991752,0.011357860577862923,0.008054111115455292
gpu_model,A10,228643,420.0,23002.400000000052,981770.8999999992,6393599.0,15897599.0,334.0,334.0,941.0,941.0,4729.0,236781.66250880194,324.0,22545.600000000035,0.08353196905219053,0.07474971899423993,0.06867037258958289
gpu_model,A100-SXM4-80GB,169020,1854.0,49486.50000000003,144123.8499999991,1900799.0,15897599.0,1450.5,3054.0,3542.5,3925.0,19198.0,75551.28900130161,1555.0,47148.80000000005,0.0621109927819193,0.04694119039166963,0.039232043545142585
gpu_model,A800-SXM4-80GB,8799,1403.0,29390.4,79140.3000000006,566819.3000000011,5861999.0,1737.0,3016.0,3016.0,3397.0,3397.0,25651.74394817593,1713.0,27050.6,0.04830094328901011,0.033526537106489375,0.02386634844868735
gpu_model,GPU-series-1,18911,4553.0,3496121.0,6307199.0,11361225.700000016,15897599.0,3433.0,3560.5,11097.0,14676.0,15559.0,963959.7420284491,3122.0,3492688.0,0.28829781608587596,0.26841520807995345,0.25297445930939666
gpu_model,GPU-series-2,30397,1582.0,20695.000000000015,45985.99999999987,447548.36000000034,10979956.0,3799.5,6230.5,6693.0,7450.5,7483.0,23973.306806592755,2896.0,16122.400000000005,0.03727341513965194,0.02345626213113136,0.018422870678027437
gpu_model,H800,11097,1039.0,22270.79999999999,61503.99999999985,332742.79999999865,10402876.0,1056.0,3707.0,3707.0,28048.0,28048.0,19881.75322159142,1011.5,22493.19999999997,0.04325493376588267,0.025141930251419302,0.012796251239073624
gpu_request,0.01,2,13658581.5,15449795.5,15673697.25,15852818.65,15897599.0,925.0,925.0,925.0,925.0,925.0,13657656.5,13657656.5,15448870.5,1.0,1.0,1.0
gpu_request,0.1,2428,833.0,1555.3000000000002,5127.800000000008,894985.6300000002,15897599.0,829.0,829.0,829.0,829.0,829.0,44120.82001647446,49.0,761.3000000000002,0.029654036243822075,0.026771004942339374,0.023476112026359144
gpu_request,0.2,8354,330.0,3110.7,9683.849999999973,606959.2999999995,11836799.0,284.0,284.0,284.0,284.0,284.0,27733.26466363419,251.0,2826.7,0.02190567392865693,0.018793392386880537,0.016878142207325832
gpu_request,0.25,1,4204247.0,4204247.0,4204247.0,4204247.0,4204247.0,925.0,925.0,925.0,925.0,925.0,4203322.0,4203322.0,4203322.0,1.0,1.0,1.0
gpu_request,0.3,11996,376.0,10866.0,71454.0,1296364.8999999934,13737599.0,941.0,941.0,941.0,941.0,941.0,60996.864704901636,908.0,9925.0,0.0480160053351117,0.04034678226075358,0.03434478159386462
gpu_request,0.4,74,176269.5,3974399.0,3974399.0,4062112.0,4062112.0,925.0,925.0,925.0,925.0,925.0,1092872.3648648649,175344.5,3973474.0,0.5135135135135135,0.5,0.4864864864864865
gpu_request,0.5,26372,313.0,8584.500000000007,31404.699999999983,1869075.7000000007,9523809.0,311.0,311.0,311.0,3200.0,3200.0,53666.521917184895,199.0,7763.600000000006,0.03681935386015471,0.032117397239496435,0.02946306688912483
gpu_request,0.67,6,13521599.0,15897599.0,15897599.0,15897599.0,15897599.0,925.0,925.0,925.0,925.0,925.0,10208674.0,13520674.0,15896674.0,1.0,1.0,1.0
gpu_request,0.8,2,7000.5,7002.5,7002.75,7002.95,7003.0,925.0,925.0,925.0,925.0,925.0,6075.5,6075.5,6077.5,0.0,0.0,0.0
