dimension,group,task_count,feasible_count,infeasible_count,feasible_rate,main_infeasible_reason
ALL,ALL,466867,466867,0,1.0,NONE
priority,HP,415713,415713,0,1.0,NONE
priority,Spot,51154,51154,0,1.0,NONE
gpu_model,A10,228643,228643,0,1.0,NONE
gpu_model,A100-SXM4-80GB,169020,169020,0,1.0,NONE
gpu_model,A800-SXM4-80GB,8799,8799,0,1.0,NONE
gpu_model,GPU-series-1,18911,18911,0,1.0,NONE
gpu_model,GPU-series-2,30397,30397,0,1.0,NONE
gpu_model,H800,11097,11097,0,1.0,NONE
gpu_request,0.01,2,2,0,1.0,NONE
gpu_request,0.1,2428,2428,0,1.0,NONE
gpu_request,0.2,8354,8354,0,1.0,NONE
gpu_request,0.25,1,1,0,1.0,NONE
gpu_request,0.3,11996,11996,0,1.0,NONE
gpu_request,0.4,74,74,0,1.0,NONE
gpu_request,0.5,26372,26372,0,1.0,NONE
gpu_request,0.67,6,6,0,1.0,NONE
gpu_request,0.8,2,2,0,1.0,NONE
gpu_request,0.85,3,3,0,1.0,NONE
gpu_request,1.0,314922,314922,0,1.0,NONE
gpu_request,2.0,22985,22985,0,1.0,NONE
gpu_request,3.0,46,46,0,1.0,NONE
gpu_request,4.0,18023,18023,0,1.0,NONE
gpu_request,5.0,56,56,0,1.0,NONE
gpu_request,6.0,230,230,0,1.0,NONE
gpu_request,7.0,24,24,0,1.0,NONE
gpu_request,8.0,61343,61343,0,1.0,NONE
cpu_request,0.0,2,2,0,1.0,NONE
cpu_request,1.0,191,191,0,1.0,NONE
cpu_request,2.0,52733,52733,0,1.0,NONE
cpu_request,3.0,19,19,0,1.0,NONE
cpu_request,4.0,77704,77704,0,1.0,NONE
cpu_request,5.0,902,902,0,1.0,NONE
cpu_request,6.0,491,491,0,1.0,NONE
cpu_request,8.0,157239,157239,0,1.0,NONE
cpu_request,8.2,417,417,0,1.0,NONE
cpu_request,10.0,2529,2529,0,1.0,NONE
cpu_request,11.0,50,50,0,1.0,NONE
cpu_request,12.0,33962,33962,0,1.0,NONE
cpu_request,12.2,3,3,0,1.0,NONE
cpu_request,13.0,6573,6573,0,1.0,NONE
cpu_request,14.0,14281,14281,0,1.0,NONE
cpu_request,15.0,4366,4366,0,1.0,NONE
cpu_request,16.0,10929,10929,0,1.0,NONE
cpu_request,16.2,13,13,0,1.0,NONE
cpu_request,18.0,141,141,0,1.0,NONE
cpu_request,20.0,9690,9690,0,1.0,NONE
cpu_request,20.48,5,5,0,1.0,NONE
cpu_request,22.0,5,5,0,1.0,NONE
cpu_request,23.0,2042,2042,0,1.0,NONE
cpu_request,23.2,1,1,0,1.0,NONE
cpu_request,24.0,1902,1902,0,1.0,NONE
cpu_request,25.0,7,7,0,1.0,NONE
cpu_request,26.0,781,781,0,1.0,NONE
cpu_request,28.0,4893,4893,0,1.0,NONE
cpu_request,30.0,1487,1487,0,1.0,NONE
cpu_request,31.2,32,32,0,1.0,NONE
cpu_request,32.0,7647,7647,0,1.0,NONE
cpu_request,32.2,9,9,0,1.0,NONE
cpu_request,36.0,16,16,0,1.0,NONE
cpu_request,39.0,2,2,0,1.0,NONE
cpu_request,40.0,824,824,0,1.0,NONE
cpu_request,42.0,19,19,0,1.0,NONE
cpu_request,44.0,8,8,0,1.0,NONE
cpu_request,45.0,13,13,0,1.0,NONE
cpu_request,46.0,1375,1375,0,1.0,NONE
cpu_request,47.2,6,6,0,1.0,NONE
cpu_request,48.0,6110,6110,0,1.0,NONE
cpu_request,50.0,61,61,0,1.0,NONE
cpu_request,52.0,1645,1645,0,1.0,NONE
cpu_request,56.0,7372,7372,0,1.0,NONE
cpu_request,60.0,2989,2989,0,1.0,NONE
cpu_request,63.0,7,7,0,1.0,NONE
cpu_request,63.2,242,242,0,1.0,NONE
cpu_request,64.0,2973,2973,0,1.0,NONE
cpu_request,65.0,19,19,0,1.0,NONE
cpu_request,69.0,1,1,0,1.0,NONE
cpu_request,70.0,29,29,0,1.0,NONE
cpu_request,72.0,46,46,0,1.0,NONE
cpu_request,78.0,48,48,0,1.0,NONE
cpu_request,80.0,2182,2182,0,1.0,NONE
cpu_request,84.0,383,383,0,1.0,NONE
cpu_request,88.0,1082,1082,0,1.0,NONE
cpu_request,90.0,52,52,0,1.0,NONE
cpu_request,92.0,1630,1630,0,1.0,NONE
cpu_request,95.0,9,9,0,1.0,NONE
cpu_request,96.0,1025,1025,0,1.0,NONE
cpu_request,96.2,23,23,0,1.0,NONE
cpu_request,98.0,24,24,0,1.0,NONE
cpu_request,100.0,63,63,0,1.0,NONE
cpu_request,104.0,6383,6383,0,1.0,NONE
cpu_request,112.0,19160,19160,0,1.0,NONE
cpu_request,115.0,7,7,0,1.0,NONE
cpu_request,120.0,2070,2070,0,1.0,NONE
cpu_request,120.2,6,6,0,1.0,NONE
cpu_request,127.2,31,31,0,1.0,NONE
cpu_request,128.0,972,972,0,1.0,NONE
cpu_request,138.0,51,51,0,1.0,NONE
cpu_request,144.0,1516,1516,0,1.0,NONE
cpu_request,160.0,946,946,0,1.0,NONE
cpu_request,176.0,102,102,0,1.0,NONE
cpu_request,184.0,13818,13818,0,1.0,NONE
cpu_request,192.0,481,481,0,1.0,NONE
