metric,value,status
episodes,80.0,V3_INDEPENDENT_REGENERATION
states,7680.0,V3_INDEPENDENT_REGENERATION
task_decisions,259920.0,V3_INDEPENDENT_REGENERATION
h1_oracle_exact_disagreement_rate,0.03679978454909203,V3_INDEPENDENT_REGENERATION
placement_disagreement_rate,0.03679978454909203,V3_INDEPENDENT_REGENERATION
defer_disagreement_rate,0.0,V3_INDEPENDENT_REGENERATION
h1_defer_rate,0.0,V3_INDEPENDENT_REGENERATION
oracle_defer_rate,0.0,V3_INDEPENDENT_REGENERATION
state_any_disagreement_rate,0.16822916666666668,V3_INDEPENDENT_REGENERATION
mean_pending_batch_size,33.84375,V3_INDEPENDENT_REGENERATION
solver_failures,0.0,V3_INDEPENDENT_REGENERATION
v2_v3_student_observation_agreement,1.0,V3_INDEPENDENT_REGENERATION
v2_v3_feasible_mask_agreement,1.0,V3_INDEPENDENT_REGENERATION
v2_v3_h1_action_agreement,1.0,V3_INDEPENDENT_REGENERATION
v2_v3_h4_oracle_action_agreement,1.0,V3_INDEPENDENT_REGENERATION
