metric,value,status
raw_jobs,466867,FULL_SOURCE_MEASURED
canonical_jobs,466867,FULL_SOURCE_MEASURED
node_count,4278,FULL_NODE_INFO_MEASURED
native_total_cpu,632636.0,FULL_NODE_INFO_MEASURED
native_total_gpu,10412.0,FULL_NODE_INFO_MEASURED
modeled_total_memory,542259.4285714285,MODELED_DC_MEMORY
static_feasible_rate,1.0,FULL_WORKLOAD_MEASURED
gpu_capacity_multiplier_vs_old,3.590344827586207,DERIVED
native_too_loose,False,CALIBRATION_DECISION
comparable_capacity_required,False,CALIBRATION_DECISION
cpu_offered_load_ratio,0.2702649400160026,FULL_WORKLOAD_MEASURED
cpu_mandatory_concurrent_peak,196298.08000000005,FULL_WORKLOAD_MEASURED
cpu_mandatory_peak_ratio,0.31028597803476254,FULL_WORKLOAD_MEASURED
cpu_immediate_start_concurrent_peak,198463.07999999993,FULL_WORKLOAD_MEASURED
cpu_immediate_start_peak_ratio,0.3137081670976674,FULL_WORKLOAD_MEASURED
gpu_offered_load_ratio,0.6543355891215155,FULL_WORKLOAD_MEASURED
gpu_mandatory_concurrent_peak,8173.670000000013,FULL_WORKLOAD_MEASURED
gpu_mandatory_peak_ratio,0.7850240107568203,FULL_WORKLOAD_MEASURED
gpu_immediate_start_concurrent_peak,8513.769999999984,FULL_WORKLOAD_MEASURED
gpu_immediate_start_peak_ratio,0.8176882443334599,FULL_WORKLOAD_MEASURED
memory_offered_load_ratio,0.20010453432141395,FULL_WORKLOAD_MEASURED
memory_mandatory_concurrent_peak,130547.51161864196,FULL_WORKLOAD_MEASURED
memory_mandatory_peak_ratio,0.24074733373021606,FULL_WORKLOAD_MEASURED
memory_immediate_start_concurrent_peak,133192.49053335108,FULL_WORKLOAD_MEASURED
memory_immediate_start_peak_ratio,0.24562503391456741,FULL_WORKLOAD_MEASURED
arrival_new_task_count_mean,26.421448783248444,FULL_WORKLOAD_MEASURED
arrival_new_task_count_p50,22.0,FULL_WORKLOAD_MEASURED
arrival_new_task_count_p90,46.0,FULL_WORKLOAD_MEASURED
arrival_new_task_count_p95,61.0,FULL_WORKLOAD_MEASURED
arrival_new_task_count_p99,130.0,FULL_WORKLOAD_MEASURED
arrival_new_task_count_max,3651.0,FULL_WORKLOAD_MEASURED
arrival_cpu_arrival_demand_mean,648.304753820034,FULL_WORKLOAD_MEASURED
arrival_cpu_arrival_demand_p50,450.0,FULL_WORKLOAD_MEASURED
arrival_cpu_arrival_demand_p90,1452.0,FULL_WORKLOAD_MEASURED
arrival_cpu_arrival_demand_p95,1796.1899999999987,FULL_WORKLOAD_MEASURED
arrival_cpu_arrival_demand_p99,2507.2060000000038,FULL_WORKLOAD_MEASURED
arrival_cpu_arrival_demand_max,142235.2,FULL_WORKLOAD_MEASURED
arrival_gpu_arrival_demand_mean,53.448242218449344,FULL_WORKLOAD_MEASURED
arrival_gpu_arrival_demand_p50,40.85,FULL_WORKLOAD_MEASURED
arrival_gpu_arrival_demand_p90,112.0,FULL_WORKLOAD_MEASURED
arrival_gpu_arrival_demand_p95,137.5,FULL_WORKLOAD_MEASURED
arrival_gpu_arrival_demand_p99,188.0,FULL_WORKLOAD_MEASURED
arrival_gpu_arrival_demand_max,4666.64,FULL_WORKLOAD_MEASURED
arrival_memory_arrival_demand_mean,378.7765550622705,FULL_WORKLOAD_MEASURED
arrival_memory_arrival_demand_p50,298.7561311350644,FULL_WORKLOAD_MEASURED
arrival_memory_arrival_demand_p90,683.5590760859237,FULL_WORKLOAD_MEASURED
arrival_memory_arrival_demand_p95,901.4542048680086,FULL_WORKLOAD_MEASURED
arrival_memory_arrival_demand_p99,1838.0217522057003,FULL_WORKLOAD_MEASURED
arrival_memory_arrival_demand_max,77067.37164459263,FULL_WORKLOAD_MEASURED
arrival_cpu_arrival_pressure_mean,0.0010247674078301,FULL_WORKLOAD_MEASURED
arrival_cpu_arrival_pressure_p50,0.0007113095049918,FULL_WORKLOAD_MEASURED
arrival_cpu_arrival_pressure_p90,0.0022951586694402,FULL_WORKLOAD_MEASURED
arrival_cpu_arrival_pressure_p95,0.0028392155994916,FULL_WORKLOAD_MEASURED
arrival_cpu_arrival_pressure_p99,0.0039631099083833,FULL_WORKLOAD_MEASURED
arrival_cpu_arrival_pressure_max,0.2248294437875808,FULL_WORKLOAD_MEASURED
arrival_gpu_arrival_pressure_mean,0.0051333309852525,FULL_WORKLOAD_MEASURED
arrival_gpu_arrival_pressure_p50,0.0039233576642335,FULL_WORKLOAD_MEASURED
arrival_gpu_arrival_pressure_p90,0.0107568190549366,FULL_WORKLOAD_MEASURED
arrival_gpu_arrival_pressure_p95,0.0132059162504802,FULL_WORKLOAD_MEASURED
arrival_gpu_arrival_pressure_p99,0.0180560891279293,FULL_WORKLOAD_MEASURED
arrival_gpu_arrival_pressure_max,0.4481982328082981,FULL_WORKLOAD_MEASURED
arrival_memory_arrival_pressure_mean,0.000698515387847,FULL_WORKLOAD_MEASURED
arrival_memory_arrival_pressure_p50,0.000550946863058,FULL_WORKLOAD_MEASURED
arrival_memory_arrival_pressure_p90,0.0012605757319642,FULL_WORKLOAD_MEASURED
arrival_memory_arrival_pressure_p95,0.0016624039295045,FULL_WORKLOAD_MEASURED
arrival_memory_arrival_pressure_p99,0.0033895616292886,FULL_WORKLOAD_MEASURED
arrival_memory_arrival_pressure_max,0.1421226954921282,FULL_WORKLOAD_MEASURED
