path,bytes,sha256
00_alibaba2020_v3_manifest.json,6489,267564DB4DC087CF11C02B761FC76C16A57F0EA15BCD96752ED6B2A7ADB4AB10
00_generation_manifest.json,7541,93CF0E5DB6FB7FA16B8D892B5D28ACC7ADBCB5E9F4C3A30392617A7253FBC050
01_protocol.md,733,D6C8EA36E0F325DB244F35B0EAE9CC880C8729D5341F48959C9E2B85484250C1
02_spot_full_canonical_audit.csv,566,2EA077CAC1EAD201C927B943E539AE151643D02F2A1E4A98DC8CD086837F8F69
03_spot_workload_pressure.csv,2228761,E481A86AF2976AE7CAD5EBAB99128FF93CB0C63E60C482BFBF11241AE8940275
04_alibaba2020_v3_episode_manifest.csv,13574,3A91DF598E8973BA2BE240877BBF9F12A5CF5AA10893E93819BA4B4CE1245E40
04_spot_duration_tail.csv,5944,743FF93A4571E3CC319841219154EB82BA9A7308CA78C5016890C69EF99750A5
05_alibaba2020_v3_split_manifest.json,5142,A8BB979B6124B6B554544842E194B011AB8D6A1A0FE1EC31DE3B145B3F03E6BF
05_spot_static_feasibility.csv,3932,E9DE41B1E3F67D1DBE1ED083759C65A1D529D8C01140B0826B9847CE8D6E2490
06_spot_temporal_state_audit.md,526,4A53725328C6CB52036D4C1CFBA1124F682F52DBC55AB4F7A62D73138127E09B
07_alibaba2020_v2_v3_alignment.csv,340,8DBE2768AF0943EF00DF7FA84C6BB39A7FA26BBD2AEB48A04E48C2F9815EDA6D
07a_alibaba2020_task_mismatch_reasons.csv,31,7D73705F24B9BA26D78DB79B8A366A770E4F8B282561FDDFDC36FFBFF8846FAD
07b_alibaba2020_state_mismatches.csv,2,7EB70257593DA06F682A3DDDA54A9D260D4FC514F645237F5CA74B08F8DA61A6
08_alibaba2020_alignment_report.md,712,980DB37826FF18E6F04557A229DD9888A0FD9B2EA00523380EB7E512583E4D91
09_scenario_a_statistics.csv,920,63F668C176F27B81E9ABF94D3DA8CBBF535F0D7F28B3883A873DA8CD282E9A25
10_scenario_b_statistics.csv,4598,4F5C40FB0747954CE6486A2B281BF31D47FA019045911FFDBC8FC5EF42E385D0
11_h1_oracle_behavior.csv,312,527F6475AB5CA767579CBB453BFCE1F6303713189E3C37DE0727EBD5AD9D206B
12_placement_disagreement.csv,231,23420F94284743CE57EA2A7E501AE26CC8C28C634DD664A75BE4E384E50F7862
13_defer_analysis.csv,260,0D851F06CD2DCAA9ACEFF77F563469A6058A5EF14C6E9AA0473E17CE0AF9A997
14_risk_analysis.csv,307,CCF218B12EAFE6251A2BC8CB1EE5E91EA4515D07F2EFA787FA6AD0B7A75FB2AC
15_priority_analysis.csv,512,51D31128DF2019298E50D86D3C2AB2666D3900095A1332A541B8AAC3517D3B8A
16_duration_error_analysis.csv,1330,7E5BE3EFAADDDF30F05B38D6794B01585E10379CF7CF040CEAD34C1667EA2CEE
17_information_contract.md,555,B51BB4415D4A1111582BC1916787164E1EDB2AA6A986FA03A0C982992CE03E72
18_field_provenance.csv,4178,EED7295AC79B0C18417DA9A56AD372AD75AF2CE75CA36C56876E7B5D82FF5DD8
19_split_manifest.csv,12957,FEC6BC81F55FFE92625C17905E703E7A8A04BDF0CDF975E796D6CB18293DCE37
20_solver_quality.csv,379,63C27AC2579B78A01FFD35C382D624EE994A6EDF3035F2D32604A954ED23E759
21_cross_dataset_comparison.csv,315,CD85E3A03E6A894F6D70BBB95603AA55EC02C33253F1FCDCF099F56FD79E3EC6
22_information_leakage_audit.md,512,0DB0E38B01ABE3FF80D049F953DBF51DDE57EEE5B9450367A44488F9E536E2DA
24_tests.md,520,547766A61D64CEB77BE672E87A67BC9B603D72DEF8FE79EF44CE44B2D992591D
25_final_diagnosis.md,1073,0C861ED0BA4D88505EA2DC2DF2429C4E9D2591851FA0D9FDECEC6AAFE3914498
26_summary.md,1024,573FB54FEDC4D920B452017BF86D57FAFC2A31E6D495F68630C3AB10B8AF7036
27_spot_node_inventory_summary.csv,242,EDC6748FABAEA14505CEA8D109C89500B930E092D02BB1DBFDFCF7147EF47881
28_spot_node_capacity_distribution.csv,101,364516DF14667FD5CCBA9F2D6118DCAB49BB54070E31AD6D0C35F13DC066A327
29_spot_gpu_model_distribution.csv,656,EAE6DE870A7A7967599EC93C97B01F08097D422D575F061D76E051B09E73D2C7
30_spot_node_to_dc_assignment.parquet,32473,1774DB4BB60BD6B3461BD8238AB32E5F1F5A775BDF06DCBF8118AEF00F72E6EC
31_spot_native_5dc_capacity.csv,457,695427D89D44A5B593F151BC8CF34E672A7B11DE5AF5902D2E6CDFD8B6DD5F35
32_spot_gpu_model_by_dc.csv,2774,1537D098D7A5EF440BE64189961C5EFC56C047BC3BD5A1442769C9BCC1AE2BA1
33_memory_capacity_model.md,420,C5E3CAC5A09BC89FA601ED89E9055BFAE9B28D1434031594C4DCC0BA8DC477E6
34_spot_native_capacity_pressure.csv,915,8F3C0F350CBB77A60C0AC50A70DE626EF500843D4833BEE097E125FBDDCE664A
35_spot_native_arrival_pressure_by_step.parquet,618994,D86C9F07F83B34BF23690A0ACA21937B5C0EA7355028CF7B98ABEC2EBAF141E9
36_spot_native_arrival_pressure_summary.csv,978,203485DCFBA354C7E8A720552604988CEE25A600F06D950287EB0C15E45623CB
37_old_vs_native_capacity.csv,1589,F1E57135169F723320F74F9EBD7AD85679498BF91C6DDE04414D1A9857A19071
38_dynamic_window_selection.csv,534,28ED54B5D647B0DE2C5B3114F3E246A4DFCD153C4B6AEC8E37D082D85306FF2F
39_dynamic_preflight_steps.csv,10398,2F87B1E4F24B8FE990AE411AC6D62F35F093C6FDF2D31FC80D84DD6E94932153
40_dynamic_preflight_summary.csv,687,78B7069C0A09EA1E0622DADFF716DB173FB42BA3210EC6F0AAE00D5ED5F2AAAF
40a_dynamic_restore_evidence.csv,685,144D07C3C32F64B0142DBCA7BE6A7C1FF17256B27AEE10C2D66C43D229FC121C
41_comparable_capacity_decision.csv,290,C038FE5A9F6BFFC82265A30D851C6E2A5525B0EE49ADDA0334AD5D4D05E400C4
42_spot_capacity_calibration_report.md,1373,9A1961E0AEB7F438B50C2686B031D5D86E88ACCB6378B0C4F44FA76FEE83BE3C
43_spot_capacity_calibration_manifest.json,5093,C9F686B7C02EDC86694590CC72AEE06FD1922BDD88EC1C54564E60159AC5A1BA
configs/mpc_expert_dataset_v3.yaml,3739,17C7757D62806E5B1FF3ED168D38C173B702FD7A119F027B8D6328AA80692C5A
dataset/scenario_a/current_states_full.parquet,38758087,A869DC4B61AFAAEBFAD07DFE951FC427165E1EE795FAD025706095036BDA8BCF
dataset/scenario_a/current_states_test.parquet,5844535,F3B244040C16BF42D12C8643790787C91FEF181E2B5EB5610758E5BCF111ABAD
dataset/scenario_a/current_states_train.parquet,27134414,5B224FE03A83240A653AA23AB29791C6AE7BEEE51EBADB7D75484E3A258308BB
dataset/scenario_a/current_states_val.parquet,5784196,CE2ADA0DC5D06C1BB9587B475FE8C408981617B7DEF8C3CC88E192EEB144D701
dataset/scenario_a/expert_task_actions_full.parquet,22441662,8BF182BE21B159507ADD6F9F7A6B152EC85975C3D7DC8B31581781FFCB852DC3
dataset/scenario_a/expert_task_actions_test.parquet,3374465,371F9938A52A5E264D09F2269DE1586EE092D5BDB07BC2F8DA1C2DD4B0FC3D92
dataset/scenario_a/expert_task_actions_train.parquet,15705902,60D2822C35B2F5C1D7D6C93BA9C0D159B9B87E165321980045AAF410C53A6A1A
dataset/scenario_a/expert_task_actions_val.parquet,3370003,E3211CC36B511E8971FFB398A9B98B0E2A7762E010E3AD7BE66A7A10785A44A3
dataset/scenario_a/v2_v3_task_mismatches.parquet,1430,0871BF81C9F16E26284251D67CE1898BD54FA8FC6E11B73177FB4934C82BF903
dataset/scenario_b/BLOCKED.md,146,8CAAE46CBBC4BF38DC0650B71744DD043B746BC8376F0E412FAD999091993E75
plots/README.md,78,6899A18925C4259E2EC3122FB794771C6676120FA382C7DF25040EE667F5F6F4
preflight/deployable_current/spot_tasks.parquet,7606130,75B76A7EB81F79BA4C4A32D1CCC2E41D4B747CB674EB515BED23AF3DD0BB3C98
preflight/simulator_only/spot_truth.parquet,4893228,CDB9880EB3134DE4FD53C45C5C90ED7CE5963938CEB885D2416C17525993B483
preflight/spot_full_canonical.parquet,10465984,17BDE4F43208422843339BAAECF6BD2F2360ABB5A9C35EC7972C55474D234BFA
preflight/spot_static_feasibility.parquet,2530422,54987C451A1ACBC750766539BD0DD1D3807153401F5FC682453D53BD49B5AE42
privileged_future/scenario_a/oracle_future_full.parquet,6421148,263CA1A0A51EE647D78C2B5FD7F4BFF71B1C7377D4B2F6192368C51DE9972334
privileged_future/scenario_a/oracle_future_test.parquet,968340,5A3D2414596E9E516F184A547E5041E9C8D09B868465DE5A7CA3907271F69B01
privileged_future/scenario_a/oracle_future_train.parquet,4495832,2A791E8A4B0B6E7B629E81204595166A7BB3955D673E66293D082D7418DE4EAE
privileged_future/scenario_a/oracle_future_val.parquet,961834,FFD3506D0CD87DBD1D556E3AEF106AF44C5779D75BE7D82615855CB02A55CFA8
privileged_future/scenario_b/BLOCKED.md,146,8CAAE46CBBC4BF38DC0650B71744DD043B746BC8376F0E412FAD999091993E75
simulator_only/scenario_a/task_truth_full.parquet,11091536,4A0FD8E1F92C12451AF154999F0B9978CB2E21EC02AB51E6D3DE02A9AC0E4E9C
simulator_only/scenario_a/task_truth_test.parquet,1665037,FBAC796E7B57FFCB5FFA9612C86E89D132C0DE739E06A0B2E1B2A03FFC6E7A48
simulator_only/scenario_a/task_truth_train.parquet,7763425,D1FB8F4D5CCB7826D08A9DEA8C31C9F9BD507783C3D4E493AEB634F2513BCC22
simulator_only/scenario_a/task_truth_val.parquet,1665562,5D54D6441FF52CC7C1B3AB8AA3C3D44A987CFC5FE46B140FB0541319CF280A4C
