dc_id,gpu_model,node_count,total_cpu_cores,total_gpu_units,within_dc_node_share,fleet_node_share,absolute_share_deviation
1,A10,449,57472,449,0.5831168831168831,0.5829827021972884,0.00013418091959471745
1,A100-SXM4-80GB,78,9984,624,0.1012987012987013,0.10098176718092566,0.0003169341177756413
1,A800-SXM4-80GB,4,512,32,0.005194805194805195,0.005142589995324918,5.221519948027647e-05
1,GPU-series-1,178,34176,282,0.23116883116883116,0.23118279569892472,1.3964530093557581e-05
1,GPU-series-2,22,4224,176,0.02857142857142857,0.02851799906498364,5.34295064449318e-05
1,H800,39,7488,312,0.05064935064935065,0.05119214586255259,0.0005427952132019409
2,A10,549,70270,549,0.5834218916046758,0.5829827021972884,0.0004391894073874081
2,A100-SXM4-80GB,95,12160,760,0.10095642933049948,0.10098176718092566,2.533785042618808e-05
2,A800-SXM4-80GB,5,640,40,0.005313496280552604,0.005142589995324918,0.0001709062852276854
2,GPU-series-1,217,41664,342,0.230605738575983,0.23118279569892472,0.0005770571229417321
2,GPU-series-2,27,5184,216,0.028692879914984058,0.02851799906498364,0.00017488085000041953
2,H800,48,9216,384,0.05100956429330499,0.05119214586255259,0.00018258156924760155
3,A10,498,63744,498,0.5838218053927315,0.5829827021972884,0.0008391031954431138
3,A100-SXM4-80GB,86,11008,688,0.10082063305978899,0.10098176718092566,0.00016113412113667736
3,A800-SXM4-80GB,4,512,32,0.004689331770222743,0.005142589995324918,0.0004532582251021754
3,GPU-series-1,197,37824,308,0.2309495896834701,0.23118279569892472,0.00023320601545462338
3,GPU-series-2,24,4608,192,0.02813599062133646,0.02851799906498364,0.0003820084436471777
3,H800,44,8448,352,0.05158264947245018,0.05119214586255259,0.0003905036098975842
4,A10,624,79870,624,0.581547064305685,0.5829827021972884,0.0014356378916033918
4,A100-SXM4-80GB,108,13824,864,0.10065237651444547,0.10098176718092566,0.00032939066648018933
4,A800-SXM4-80GB,6,768,48,0.005591798695246971,0.005142589995324918,0.00044920869992205303
4,GPU-series-1,249,47744,391,0.2320596458527493,0.23118279569892472,0.0008768501538245765
4,GPU-series-2,31,5952,248,0.028890959925442685,0.02851799906498364,0.00037296086045904633
4,H800,55,10560,440,0.05125815470643057,0.05119214586255259,6.600884387797379e-05
5,A10,374,47872,374,0.5834633385335414,0.5829827021972884,0.00048063633625294866
5,A100-SXM4-80GB,65,8320,520,0.10140405616224649,0.10098176718092566,0.00042228898132082304
5,A800-SXM4-80GB,3,384,24,0.0046801872074883,0.005142589995324918,0.00046240278783661864
5,GPU-series-1,148,28416,235,0.23088923556942278,0.23118279569892472,0.0002935601295019352
5,GPU-series-2,18,3456,144,0.028081123244929798,0.02851799906498364,0.00043687582005384057
5,H800,33,6336,264,0.0514820592823713,0.05119214586255259,0.0002899134198187034
