window_type,step,new_task_count,queue_before_dispatch,queue_after_dispatch,overdue_queue_before_dispatch,cumulative_hard_sla_violations,running_task_count,used_cpu,used_gpu,used_memory,h1_status,h1_solve_ms,h1_terminal_backlog,h1_projected_sla_violations,h1_defer_actions,h1_integer_variables,h4_status,h4_solve_ms,h4_terminal_backlog,h4_projected_sla_violations,h4_defer_actions,h4_integer_variables
LOW_LOAD,2309,14,14,0,0,0,5025,155577.2,5965.800000000001,88872.74272379362,optimal,2.3991999914869666,0,0,0,84,optimal,1.9352000672370195,0,0,0,364
LOW_LOAD,2310,15,15,0,0,0,5023,155397.2,5954.800000000001,88822.4181867973,optimal,1.2314000632613897,0,0,0,90,optimal,1.8135999562218785,0,0,0,390
LOW_LOAD,2311,9,9,0,0,0,5004,155252.2,5935.800000000001,88592.5800295993,optimal,1.0807000799104571,0,0,0,54,optimal,1.627200050279498,0,0,0,234
LOW_LOAD,2312,17,17,0,0,0,5007,155320.2,5956.800000000001,88696.67575058388,optimal,1.1044000275433064,0,0,0,102,optimal,2.1089999936521053,0,0,0,442
LOW_LOAD,2313,16,16,0,0,0,5014,155234.2,5960.800000000001,88767.64504139799,optimal,1.1427999706938863,0,0,0,96,optimal,1.9266000017523766,0,0,0,416
LOW_LOAD,2314,14,14,0,0,0,5013,155310.2,5964.800000000001,88828.96853636173,optimal,1.0579999070614576,0,0,0,84,optimal,1.8719000509008765,0,0,0,364
LOW_LOAD,2315,16,16,0,0,0,5017,155478.2,5961.800000000001,88861.34603148552,optimal,1.2278000358492136,0,0,0,96,optimal,1.8666000105440617,0,0,0,416
LOW_LOAD,2316,14,14,0,0,0,5018,155574.2,5965.800000000001,88844.84688137853,optimal,1.0759999277070165,0,0,0,84,optimal,1.790400012396276,0,0,0,364
LOW_LOAD,2317,9,9,0,0,0,5015,155430.2,5954.800000000001,88788.0076865647,optimal,0.9881999576464295,0,0,0,54,optimal,1.4368999982252717,0,0,0,234
LOW_LOAD,2318,14,14,0,0,0,5016,155432.2,5955.800000000001,88794.25221543637,optimal,1.1073999339714646,0,0,0,84,optimal,1.8597999587655067,0,0,0,364
LOW_LOAD,2319,12,12,0,0,0,5017,155574.2,5963.800000000001,88844.62513362762,optimal,1.0047999676316977,0,0,0,72,optimal,1.6063000075519085,0,0,0,312
LOW_LOAD,2320,17,17,0,0,0,5019,155582.2,5966.800000000001,88858.4003374594,optimal,1.143899979069829,0,0,0,102,optimal,2.0267999498173594,0,0,0,442
LOW_LOAD,2321,14,14,0,0,0,5021,155545.2,5961.800000000001,88916.5589927212,optimal,1.0473000584170222,0,0,0,84,optimal,1.8837000243365765,0,0,0,364
LOW_LOAD,2322,22,22,0,0,0,5032,155618.2,5972.800000000001,89036.41130077408,optimal,1.2505999766290188,0,0,0,132,optimal,2.3760999320074916,0,0,0,572
