step_complete,total_steps,elapsed_seconds_this_process,estimated_remaining_seconds,pending,running,in_transit,completed,h1_solver_calls,h4_solver_calls,h1_failures,h4_failures,h1_defers,h4_defers,task_decisions,output_bytes,recorded_at_utc,h1_presolve_retries,h4_presolve_retries
250,17670,43.35256989998743,3020.807070631124,0,5197,63,11345,250,250,0,0,0,0,16605,1619742,2026-09-06T05:48:00.197267+00:00,,
500,17670,84.96633510000538,2917.7439473341847,0,4908,15,24248,500,500,0,0,0,0,29171,3272180,2026-09-06T05:48:41.811825+00:00,,
750,17670,121.17994639999233,2733.8195907838267,0,5039,34,32376,750,750,0,0,0,0,37449,4430416,2026-09-06T05:49:18.026272+00:00,,
1000,17670,153.65520550007932,2561.4322756863226,0,4884,26,37750,1000,1000,0,0,0,0,42660,5376870,2026-09-06T05:49:50.502646+00:00,,
1250,17670,189.9867649000371,2495.666143726887,0,4952,18,45082,1250,1250,0,0,0,0,50052,6478781,2026-09-06T05:50:26.834067+00:00,,
1500,17670,224.23114679998253,2417.2117625038118,0,4920,15,51636,1500,1500,0,0,0,0,56571,7489659,2026-09-06T05:51:01.078748+00:00,,
1750,17670,257.1390014999779,2339.23023078837,0,4806,10,56667,1750,1750,0,0,0,0,61483,8449613,2026-09-06T05:51:33.986725+00:00,,
2000,17670,291.9593386000488,2287.5014179313825,0,5155,23,62394,2000,2000,0,0,0,0,67572,9510099,2026-09-06T05:52:08.808256+00:00,,
2250,17670,325.5791674000211,2231.3025605814782,0,5067,22,67671,2250,2250,0,0,0,0,72760,10512409,2026-09-06T05:52:42.429057+00:00,,
2500,17670,33.73719789995812,204.71731685694584,0,5061,19,73552,2500,2500,0,0,0,0,78632,11577680,2026-09-06T06:08:19.917779+00:00,0.0,1.0
2750,17670,66.14092020003591,358.8445561398312,0,5266,27,77829,2750,2750,0,0,0,0,83122,12525010,2026-09-06T06:08:52.321267+00:00,0.0,1.0
3000,17670,31.713022899930365,1860.9201837679138,0,5173,11,82046,3000,3000,0,0,0,0,87230,13421828,2026-09-06T06:12:51.901688+00:00,0.0,1.0
3250,17670,66.30803810001817,1912.3238188045236,0,5452,38,87921,3250,3250,0,0,0,0,93411,14514779,2026-09-06T06:13:26.495619+00:00,0.0,1.0
3500,17670,98.94131809996907,1869.3313033020825,0,5376,21,92357,3500,3500,0,0,0,0,97754,15434405,2026-09-06T06:13:59.130091+00:00,0.0,1.0
3750,17670,134.07384690002073,1866.3079488482883,0,5418,19,98644,3750,3750,0,0,0,0,104081,16492778,2026-09-06T06:14:34.261725+00:00,0.0,1.0
4000,17670,168.39611059997696,1841.579865521348,0,5547,41,103258,4000,4000,0,0,0,0,108846,17493445,2026-09-06T06:15:08.584954+00:00,0.0,1.0
4250,17670,205.30679800000507,1836.8114861067122,0,5521,29,110096,4250,4250,0,0,0,0,115646,18652265,2026-09-06T06:15:45.496523+00:00,0.0,1.0
4500,17670,243.21440219995566,1830.3621011276664,0,5782,35,117948,4500,4500,0,0,0,0,123765,19845593,2026-09-06T06:16:23.406178+00:00,0.0,1.0
4750,17670,282.07501079991926,1822.2045697674785,0,5779,48,125740,4750,4750,0,0,0,0,131567,21049094,2026-09-06T06:17:02.265483+00:00,0.0,1.0
5000,17670,321.76163249998353,1811.8755038999072,0,5730,24,133381,5000,5000,0,0,0,0,139135,22220127,2026-09-06T06:17:41.952876+00:00,0.0,1.0
5250,17670,367.65268830000423,1826.4985554744212,0,5990,63,144727,5250,5250,0,0,0,0,150780,23797100,2026-09-06T06:18:27.844762+00:00,0.0,1.0
5500,17670,412.5612481000135,1825.771050682605,0,5921,18,156268,5500,5500,0,0,0,0,162207,25339910,2026-09-06T06:19:12.752302+00:00,0.0,1.0
5750,17670,452.96072129998356,1799.7639326319347,0,6138,26,163326,5750,5750,0,0,0,0,169490,26501421,2026-09-06T06:19:53.154061+00:00,0.0,1.0
6000,17670,495.5007656000089,1779.2289029391088,0,6133,21,170987,6000,6000,0,0,0,0,177141,27689999,2026-09-06T06:20:35.693767+00:00,0.0,1.0
6250,17670,533.7162028999301,1741.439724890629,0,5966,12,175566,6250,6250,0,0,0,0,181544,28670576,2026-09-06T06:21:13.910681+00:00,0.0,1.0
6500,17670,572.5223368000006,1705.3532005482684,0,6034,47,181035,6500,6500,0,0,0,0,187116,29752080,2026-09-06T06:21:52.716355+00:00,0.0,1.0
6750,17670,613.4124169999268,1674.6158984098001,0,5765,19,188950,6750,6750,0,0,0,0,194734,30929008,2026-09-06T06:22:33.607371+00:00,0.0,1.0
7000,17670,653.5240483999951,1640.7297873948112,0,5993,40,195612,7000,7000,0,0,0,0,201645,32028074,2026-09-06T06:23:13.719250+00:00,0.0,1.0
7250,17670,694.1332824999699,1607.3041785888195,0,5767,39,204065,7250,7250,0,0,0,0,209871,33265546,2026-09-06T06:23:54.327245+00:00,0.0,1.0
7500,17670,735.3791228999617,1574.485406293181,0,5742,18,212361,7500,7500,0,0,0,0,218121,34492873,2026-09-06T06:24:35.574769+00:00,0.0,1.0
7750,17670,775.7343946999172,1539.0570390846358,0,5940,45,219202,7750,7750,0,0,0,0,225187,35605650,2026-09-06T06:25:15.930214+00:00,0.0,1.0
8000,17670,817.2657980999211,1505.3257652621403,0,5775,20,227006,8000,8000,0,0,0,0,232801,36786894,2026-09-06T06:25:57.466145+00:00,0.0,1.0
8250,17670,858.7870611000108,1470.8680210112911,0,6021,24,233759,8250,8250,0,0,0,0,239804,37908342,2026-09-06T06:26:38.985323+00:00,0.0,1.0
8500,17670,899.4449717999669,1434.4191985053385,0,5918,35,240531,8500,8500,0,0,0,0,246484,38996523,2026-09-06T06:27:19.643556+00:00,0.0,2.0
8750,17670,942.5176793999271,1401.2096167078917,0,5930,32,247896,8750,8750,0,0,0,0,253858,40162381,2026-09-06T06:28:02.716502+00:00,0.0,2.0
9000,17670,996.8308852999471,1382.8038040880867,0,6723,104,265314,9000,9000,0,0,0,0,272141,42200510,2026-09-06T06:28:57.030965+00:00,0.0,2.0
9250,17670,1067.4652410999406,1382.7780507786922,0,5999,158,296372,9250,9250,0,0,0,0,302529,45297572,2026-09-06T06:30:07.668623+00:00,0.0,2.0
9500,17670,1109.8085464999313,1343.2793814673241,0,5899,13,303532,9500,9500,0,0,0,0,309444,46408190,2026-09-06T06:30:50.008067+00:00,0.0,2.0
9750,17670,1145.4733338999795,1296.0212577839768,0,5835,12,305926,9750,9750,0,0,0,0,311773,47253534,2026-09-06T06:31:25.673516+00:00,0.0,2.0
10000,17670,1183.6073149000295,1252.1749110735484,0,5645,8,310121,10000,10000,0,0,0,0,315774,48186654,2026-09-06T06:32:03.809658+00:00,0.0,2.0
10250,17670,1223.4124675999628,1210.3627346122298,0,5795,22,315908,10250,10250,0,0,0,0,321725,49306417,2026-09-06T06:32:43.613797+00:00,0.0,2.0
10500,17670,1260.5268846999388,1166.190679135298,0,5661,10,320309,10500,10500,0,0,0,0,325980,50280531,2026-09-06T06:33:20.733046+00:00,0.0,2.0
10750,17670,1302.127893799916,1126.3406281369273,0,5770,25,327529,10750,10750,0,0,0,0,333324,51446902,2026-09-06T06:34:02.333057+00:00,0.0,2.0
11000,17670,1340.7841564000119,1084.003675537949,0,5637,21,333151,11000,11000,0,0,0,0,338809,52449324,2026-09-06T06:34:40.986432+00:00,0.0,2.0
11250,17670,1381.261034599971,1043.2583343684487,0,5627,16,339864,11250,11250,0,0,0,0,345507,53626015,2026-09-06T06:35:21.466519+00:00,0.0,2.0
11500,17670,1422.5876512000104,1003.1275209033215,0,5603,25,347453,11500,11500,0,0,0,0,353081,54813235,2026-09-06T06:36:02.792318+00:00,0.0,2.0
11750,17670,1459.5030813999474,960.0286935430764,0,5488,15,351853,11750,11750,0,0,0,0,357356,55758661,2026-09-06T06:36:39.708303+00:00,0.0,3.0
12000,17670,1501.4893944999203,920.3724180340052,0,5586,11,360234,11998,11998,0,0,0,0,365831,56955133,2026-09-06T06:37:21.699439+00:00,0.0,3.0
12250,17670,1539.0845829999307,878.0882568273289,0,5594,7,365041,12248,12248,0,0,0,0,370642,57958323,2026-09-06T06:37:59.289774+00:00,0.0,3.0
