controller,metric,value
H1,primary_steps,17670.0
H1,task_count,466867.0
H1,stage_cost_total,4320505.306756362
H1,stage_cost_mean_per_step,244.5107700484642
H1,reward_total,-4320505.306756362
H1,reward_mean,-244.5107700484642
H1,objective_electricity,25416.10019852759
H1,objective_carbon,73519.68188119786
H1,objective_transmission,497.0246766375234
H1,objective_waiting_defer,0.0
H1,objective_sla_penalty,4221072.5
H1,objective_terminal_backlog,0.0
H1,physical_energy_kwh_primary,20778224.815361265
H1,physical_electricity_cost_usd_primary,2355048.7066233368
H1,physical_carbon_kg_primary,5384361.545725249
H1,physical_energy_kwh_with_tail,20778234.66458907
H1,physical_electricity_cost_usd_with_tail,2355048.9870751738
H1,physical_carbon_kg_with_tail,5384362.718898907
H1,transmission_cost_usd,497.0246766375234
H1,transmission_amount_gb,6840.918706551174
H1,migration_count,340979.0
H1,defer_decision_count,0.0
H1,primary_completed_count,466826.0
H1,primary_completion_rate,0.9999121805567752
H1,primary_sla_violation_count,189111.0
H1,primary_sla_violation_rate,0.4050639689676075
H1,wait_bound_violation_count,0.0
H1,wait_bound_violation_rate,0.0
H1,tail_completed_count,466867.0
H1,tail_completion_rate,1.0
H1,tail_sla_violation_count,189114.0
H1,tail_sla_violation_rate,0.40507039478052637
H1,primary_remaining_pending,0.0
H1,primary_remaining_running,39.0
H1,primary_remaining_in_transit,2.0
H1,tail_remaining_pending,0.0
H1,tail_remaining_running,0.0
H1,tail_remaining_in_transit,0.0
H1,tail_drain_steps,3.0
H1,primary_terminal_pending_cost,0.0
H1,tail_terminal_pending_cost,0.0
H1,solver_calls,17663.0
H1,solver_optimal,17663.0
H1,solver_retries,0.0
H1,solver_failures,0.0
H1,solver_timeouts,0.0
H1,fallback_count,0.0
H1,waiting_mean,1.0
H1,waiting_p50,1.0
H1,waiting_p90,1.0
H1,waiting_p95,1.0
H1,waiting_p99,1.0
H1,waiting_max,1.0
H1,backlog_mean,26.421448783248444
H1,backlog_p50,22.0
H1,backlog_p90,46.0
H1,backlog_p95,61.0
H1,backlog_p99,130.0
H1,backlog_max,3651.0
H1,solver_ms_mean,2.3488136440113103
H1,solver_ms_p50,1.4951999764889479
H1,solver_ms_p90,3.652619989588857
H1,solver_ms_p95,5.958049965556707
H1,solver_ms_p99,16.917648003436693
H1,solver_ms_max,1162.643300020136
H1,terminal_backlog,2.0
H1,dispatch_count,466867.0
