metric,unit,h1,h4_oracle,absolute_delta_h4_minus_h1,relative_delta_percent
stage_cost_total,objective_units,4320505.306756362,4323847.572407141,3342.265650779009,0.07735821190989878
stage_cost_mean_per_step,objective_units_per_step,244.5107700484642,244.69991920810082,0.18914915963662793,0.07735821190990355
reward_total,reward_units,-4320505.306756362,-4323847.572407141,-3342.265650779009,-0.07735821190989878
reward_mean,reward_units_per_step,-244.5107700484642,-244.69991920810082,-0.18914915963662793,-0.07735821190990355
physical_energy_kwh_primary,kWh,20778224.815361265,20778224.815361254,-1.1175870895385742e-08,-5.378645670983145e-14
physical_electricity_cost_usd_primary,USD,2355048.7066233368,2353869.1954345508,-1179.5111887860112,-0.050084364941954486
physical_carbon_kg_primary,kgCO2,5384361.545725249,5400113.813521058,15752.267795809545,0.29255590773460566
transmission_cost_usd,USD,497.0246766375234,498.71129767231537,1.6866210347919832,0.3393435203664997
transmission_amount_gb,GB,6840.918706551174,6862.86716984354,21.948463292365886,0.32084087289835855
migration_count,tasks,340979.0,342073.0,1094.0,0.32084087289833096
primary_sla_violation_count,tasks,189111.0,190408.0,1297.0,0.6858405909756704
primary_sla_violation_rate,fraction,0.4050639689676075,0.40784206208620444,0.002778093118596947,0.6858405909756708
primary_completed_count,tasks,466826.0,466826.0,0.0,0.0
primary_completion_rate,fraction,0.9999121805567752,0.9999121805567752,0.0,0.0
backlog_mean,tasks,26.421448783248444,26.880475382003397,0.4590265987549529,1.7373256195019176
backlog_p95,tasks,61.0,62.0,1.0,1.639344262295082
backlog_max,tasks,3651.0,3651.0,0.0,0.0
terminal_backlog,tasks,2.0,2.0,0.0,0.0
