record_type,block_type,block_id,start_step,end_step_inclusive,steps,independent_random_sample,stage_cost_h1,stage_cost_h4,stage_cost_delta_h4_minus_h1,sla_violation_count_h1,sla_violation_count_h4,sla_violation_count_delta_h4_minus_h1,physical_electricity_cost_usd_h1,physical_electricity_cost_usd_h4,physical_electricity_cost_usd_delta_h4_minus_h1,physical_carbon_kg_h1,physical_carbon_kg_h4,physical_carbon_kg_delta_h4_minus_h1,stage_transmission_h1,stage_transmission_h4,stage_transmission_delta_h4_minus_h1,backlog_mean_h1,backlog_mean_h4,backlog_mean_delta_h4_minus_h1
BLOCK,DAILY_96_STEPS,0,0,95,96,False,86542.40670516461,86534.27496540375,-8.131739760865457,801.0,942.0,141.0,9160.099854638524,9184.295998391206,24.196143752682474,19820.095233229276,19829.80123553419,9.706002304912545,11.538431540796056,11.513714441366254,-0.024717099429802047,89.44791666666667,130.60416666666666,41.156249999999986
BLOCK,DAILY_96_STEPS,1,96,191,96,False,55533.57930583881,55539.40755902856,5.8282531897493755,1147.0,1173.0,26.0,11200.458705487708,11230.982398587037,30.52369309932874,22849.630087630765,22858.796000205504,9.165912574739195,6.209689729798294,6.358714579282462,0.14902484948416816,57.59375,58.0625,0.46875
BLOCK,DAILY_96_STEPS,2,192,287,96,False,46969.06704878006,46977.632996743414,8.56594796335412,1223.0,1308.0,85.0,12319.372342443643,12398.050257657507,78.67791521386425,25980.67982076625,26028.288743491983,47.608922725732555,4.509947767224563,4.70908894331232,0.19914117608775683,48.59375,50.84375,2.25
BLOCK,DAILY_96_STEPS,3,288,383,96,False,56127.830068730254,56154.79884159545,26.968772865198844,1687.0,1729.0,42.0,10455.611615802776,10553.135350234079,97.52373443130273,23941.462404985057,24040.556066250647,99.09366126558962,5.719962134764835,5.862968210037202,0.14300607527236764,57.729166666666664,58.4375,0.7083333333333357
BLOCK,DAILY_96_STEPS,4,384,479,96,False,45114.88414956173,45094.30166021339,-20.582489348344097,1797.0,1814.0,17.0,14247.062678574446,14367.030274475326,119.96759590088004,32788.89696315577,32855.90334834919,67.00638519341737,4.56463836222912,4.529087469218088,-0.03555089301103198,45.59375,45.78125,0.1875
BLOCK,DAILY_96_STEPS,5,480,575,96,False,36332.94326604166,36394.4812949597,61.53802891804662,1424.0,1434.0,10.0,15418.099244231464,15375.283997257267,-42.81524697419627,34734.41567330569,34725.258920859065,-9.156752446622704,3.808118568967272,3.8966346750421437,0.08851610607487181,36.979166666666664,37.125,0.1458333333333357
BLOCK,DAILY_96_STEPS,6,576,671,96,False,33261.244478224464,33320.78076771498,59.536289490519266,1298.0,1304.0,6.0,14903.145765184043,14857.421677331651,-45.724087852391676,34906.51054272607,34959.34440607859,52.833863352519984,3.5924859515391843,3.637386007159212,0.04490005562002786,33.604166666666664,33.979166666666664,0.375
BLOCK,DAILY_96_STEPS,7,672,767,96,False,25348.054574495738,25357.04712903076,8.992554535023373,999.0,1007.0,8.0,14169.542680620967,14107.101310832844,-62.441369788122756,29094.26482111558,29138.581439747704,44.31661863212503,2.79933188590818,2.7500983128556564,-0.04923357305252374,25.770833333333332,25.947916666666668,0.1770833333333357
BLOCK,DAILY_96_STEPS,8,768,863,96,False,21394.502625123947,21394.630085709854,0.12746058590710163,785.0,785.0,0.0,12783.675467623576,12744.065383467821,-39.61008415575452,26732.21951057725,26745.26128566248,13.041775085228437,2.1611010684889083,2.177873385959124,0.016772317470215903,22.072916666666668,22.072916666666668,0.0
BLOCK,DAILY_96_STEPS,9,864,959,96,False,19483.99549207909,19483.005742552028,-0.9897495270633954,760.0,766.0,6.0,12390.304199650502,12367.37676931691,-22.927430333591474,29028.268576310074,29060.155919602086,31.887343292011792,1.9963070305698243,1.984149106661988,-0.01215792390783621,20.0,20.1875,0.1875
BLOCK,DAILY_96_STEPS,10,960,1055,96,False,26702.96077004967,26718.647392926538,15.68662287686675,1222.0,1232.0,10.0,13476.476085257178,13476.887915797859,0.4118305406809668,32935.45055264374,33023.169143589635,87.71859094589308,3.005053588467504,2.9754412193454485,-0.029612369122055338,27.145833333333332,27.385416666666668,0.2395833333333357
BLOCK,DAILY_96_STEPS,11,1056,1151,96,False,31731.579346852814,31743.76855881855,12.189211965735012,1503.0,1519.0,16.0,15025.29777498242,15042.278531888114,16.980756905693852,33623.27317066041,33722.47394051653,99.20076985612104,3.203913888425376,3.2373782730429843,0.03346438461760837,32.25,32.958333333333336,0.7083333333333357
BLOCK,DAILY_96_STEPS,12,1152,1247,96,False,23880.888822923735,23907.026563366682,26.13774044294769,1143.0,1144.0,1.0,13344.733049651468,13339.687303980572,-5.045745670895485,32754.81379366143,32836.59468456047,81.78089089904097,2.3602823697380764,2.390777492411196,0.030495122673119823,24.15625,24.1875,0.03125
BLOCK,DAILY_96_STEPS,13,1248,1343,96,False,28764.880086120902,28762.964199485643,-1.9158866352590849,1225.0,1235.0,10.0,13248.037498649339,13303.142364596655,55.104865947316284,32725.650107378824,32850.6072862443,124.95717886547936,2.80214064720702,2.810005178843772,0.007864531636752048,29.260416666666668,29.510416666666668,0.25
BLOCK,DAILY_96_STEPS,14,1344,1439,96,False,27742.38072952108,27757.079076000733,14.698346479653992,1267.0,1268.0,1.0,13037.43118887552,13033.497922564202,-3.9332663113182207,30345.532946004678,30435.42123845255,89.88829244787121,2.944705345703856,2.915815229487216,-0.02889011621663995,28.34375,28.395833333333332,0.05208333333333215
BLOCK,DAILY_96_STEPS,15,1440,1535,96,False,16400.453306983483,16402.68280271908,2.2294957355952647,724.0,724.0,0.0,11475.981820294668,11471.189055402616,-4.792764892052219,27768.425765043423,27736.89900532837,-31.52675971505232,1.7157519019771201,1.6972542025661883,-0.018497699410931823,16.78125,16.78125,0.0
BLOCK,DAILY_96_STEPS,16,1536,1631,96,False,16232.628779747394,16233.914799367267,1.2860196198726044,620.0,620.0,0.0,11175.712434684137,11152.728687473002,-22.98374721113578,29829.129916650534,29807.76042726342,-21.3694893871143,1.81887356680596,1.7323637188016883,-0.08650984800427164,16.697916666666668,16.697916666666668,0.0
BLOCK,DAILY_96_STEPS,17,1632,1727,96,False,24753.303314986508,24785.623255388273,32.31994040176505,1007.0,1008.0,1.0,13793.566475230637,13765.015761334806,-28.550713895830995,31697.0760136223,31728.068410743268,30.992397120968235,2.4115623260226124,2.39928402663054,-0.012278299392072256,24.96875,25.052083333333332,0.08333333333333215
BLOCK,DAILY_96_STEPS,18,1728,1823,96,False,22883.463071815866,22883.896944356035,0.4338725401685224,961.0,961.0,0.0,14725.794782900866,14656.999522831586,-68.79526006928063,29875.10244118564,29902.939420821327,27.836979635685566,2.347201567117764,2.3609243723206683,0.013722805202904365,22.96875,22.979166666666668,0.010416666666667851
BLOCK,DAILY_96_STEPS,19,1824,1919,96,False,24244.917293811377,24286.480896101326,41.5636022899489,1116.0,1125.0,9.0,16636.802604415167,16547.270362031428,-89.53224238373878,35470.405549514035,35686.65053826578,216.24498875174322,2.3564303542425242,2.466654172641288,0.11022381839876383,24.291666666666668,24.666666666666668,0.375
BLOCK,DAILY_96_STEPS,20,1920,2015,96,False,23937.086906072,23956.505961918825,19.41905584682536,927.0,930.0,3.0,16668.831102734162,16500.66895623132,-168.16214650284383,33263.45639022056,33335.84158982615,72.38519960558915,2.6179661563259398,2.5749921084536886,-0.04297404787225112,24.166666666666668,24.354166666666668,0.1875
BLOCK,DAILY_96_STEPS,21,2016,2111,96,False,22995.615239260205,23002.329317981366,6.714078721161059,1079.0,1081.0,2.0,15870.94791692911,15785.06446288047,-85.88345404864049,29392.836045906013,29357.149794740388,-35.686251165625436,2.827258998250932,2.8018597710771362,-0.025399227173795946,23.302083333333332,23.385416666666668,0.0833333333333357
BLOCK,DAILY_96_STEPS,22,2112,2207,96,False,18801.724484798877,18801.229806191255,-0.49467860762160853,774.0,774.0,0.0,12541.264294019958,12515.192665591023,-26.071628428935583,29621.074730795233,29646.872555760703,25.797824965469772,2.121256783206792,2.0884745263331883,-0.03278225687360381,19.260416666666668,19.270833333333332,0.010416666666664298
BLOCK,DAILY_96_STEPS,23,2208,2303,96,False,19085.445244283357,19086.216859573316,0.7716152899592998,728.0,736.0,8.0,10643.254435789999,10627.401759466607,-15.852676323391279,25779.616019731657,25712.75216717203,-66.86385255962523,2.333358386430624,2.3001748779429,-0.03318350848772411,19.583333333333332,19.739583333333332,0.15625
BLOCK,DAILY_96_STEPS,24,2304,2399,96,False,25099.7824667658,25132.54883708259,32.766370316792745,1019.0,1021.0,2.0,10272.077991504182,10212.122243714217,-59.955747789965244,24044.311525839228,23970.571257353873,-73.74026848535505,2.7690373890421203,2.7129825385495563,-0.05605485049256398,25.479166666666668,25.635416666666668,0.15625
BLOCK,DAILY_96_STEPS,25,2400,2495,96,False,21910.990210669566,21935.29186915332,24.301658483753272,943.0,945.0,2.0,13836.544840790417,13751.896024426087,-84.64881636432983,27168.314877907444,27139.245159018275,-29.069718889168144,2.4227171208951486,2.3633720071668005,-0.05934511372834805,22.072916666666668,22.260416666666668,0.1875
BLOCK,DAILY_96_STEPS,26,2496,2591,96,False,21953.50375775869,21946.45741887641,-7.0463388822827255,1026.0,1030.0,4.0,14989.5819178307,15020.167127879331,30.58521004863178,32550.50189755977,32628.441890818074,77.93999325830373,2.2802326727211364,2.331552754167084,0.051320081445947796,22.020833333333332,22.25,0.22916666666666785
BLOCK,DAILY_96_STEPS,27,2592,2687,96,False,17540.313302122566,17549.249935627166,8.93663350459974,794.0,796.0,2.0,14768.42051171173,14786.418080415307,17.99756870357669,28413.19174731269,28434.222861083228,21.031113770539378,2.098184815394892,2.097502687650888,-0.0006821277440036688,17.708333333333332,17.90625,0.19791666666666785
BLOCK,DAILY_96_STEPS,28,2688,2783,96,False,14538.54181115101,14573.959256228842,35.41744507783187,694.0,695.0,1.0,14370.906263050158,14370.987462606845,0.08119955668735201,29206.951465572427,29230.890019984086,23.938554411659425,1.650067012745676,1.6451316178920001,-0.00493539485367589,14.666666666666666,14.895833333333334,0.22916666666666785
BLOCK,DAILY_96_STEPS,29,2784,2879,96,False,13655.546746416418,13654.672391558168,-0.8743548582497169,719.0,719.0,0.0,13468.688509482601,13484.279796034529,15.591286551927624,30590.315306560522,30621.90255847013,31.587251909608312,1.501804541328336,1.479053574807732,-0.022750966520604043,14.114583333333334,14.208333333333334,0.09375
BLOCK,DAILY_96_STEPS,30,2880,2975,96,False,17918.868020319263,17919.44494125592,0.5769209366553696,725.0,728.0,3.0,12457.81318320274,12455.98436502452,-1.8288181782190804,30227.44515862562,30223.576757789575,-3.8684008360432927,1.9276127542324801,1.875088917944172,-0.052523836288308035,18.739583333333332,18.791666666666668,0.0520833333333357
BLOCK,DAILY_96_STEPS,31,2976,3071,96,False,19911.395115840554,19956.39205161186,44.99693577130529,886.0,891.0,5.0,15800.03595855095,15841.439549278763,41.403590727812116,32325.971517209422,32389.290982976094,63.31946576667178,2.328583492222596,2.320678835424432,-0.007904656798164211,22.59375,22.739583333333332,0.14583333333333215
BLOCK,DAILY_96_STEPS,32,3072,3167,96,False,20331.872417698076,20359.74119186779,27.868774169714015,972.0,977.0,5.0,14284.848714780113,14293.172874373518,8.324159593405057,31438.716029740666,31476.420700709532,37.704670968865685,2.3408617916146683,2.2856896946731684,-0.05517209694149994,23.510416666666668,23.822916666666668,0.3125
BLOCK,DAILY_96_STEPS,33,3168,3263,96,False,21196.454524477405,21207.08703092938,10.632506451973313,957.0,972.0,15.0,14398.862760790347,14406.369575018853,7.506814228505391,26874.736385838714,26879.9095589476,5.17317310888393,2.8051500343129203,2.77926930520218,-0.02588072911074013,24.84375,25.197916666666668,0.35416666666666785
BLOCK,DAILY_96_STEPS,34,3264,3359,96,False,10784.132736445776,10789.905547131439,5.772810685662989,496.0,500.0,4.0,15388.143462287442,15351.584552524859,-36.558909762583426,26742.57816828459,26722.49919693073,-20.07897135386156,1.86401437339446,1.8527793281990999,-0.011235045195360227,15.635416666666666,15.9375,0.3020833333333339
