record_type,block_type,block_id,start_step,end_step_inclusive,steps,independent_random_sample,stage_cost_h1,stage_cost_h4,stage_cost_delta_h4_minus_h1,sla_violation_count_h1,sla_violation_count_h4,sla_violation_count_delta_h4_minus_h1,physical_electricity_cost_usd_h1,physical_electricity_cost_usd_h4,physical_electricity_cost_usd_delta_h4_minus_h1,physical_carbon_kg_h1,physical_carbon_kg_h4,physical_carbon_kg_delta_h4_minus_h1,stage_transmission_h1,stage_transmission_h4,stage_transmission_delta_h4_minus_h1,backlog_mean_h1,backlog_mean_h4,backlog_mean_delta_h4_minus_h1
BLOCK,WEEKLY_672_STEPS,0,0,671,672,False,359881.9550223416,360015.6780856593,133.7230633177096,9377.0,9704.0,327.0,87703.85020636261,87966.19995393409,262.349747571483,195021.69072579886,195297.94872076914,276.25799497027765,39.94327405531932,40.507594325417685,0.5643202700983636,52.791666666666664,59.26190476190476,6.470238095238095
BLOCK,WEEKLY_672_STEPS,1,672,1343,672,False,177306.8617176459,177367.08967189008,60.22795424418291,7637.0,7688.0,51.0,94438.06675643545,94380.53957988077,-57.52717655467859,216893.9405323473,217376.8436999232,482.9031675758888,18.328130478804887,18.32572296912017,-0.002407509684715592,25.808035714285715,26.035714285714285,0.2276785714285694
BLOCK,WEEKLY_672_STEPS,2,1344,2015,672,False,156194.2334029377,156306.18373585155,111.95033291383879,6622.0,6636.0,14.0,97514.12040913515,97127.37026786897,-386.75014126618044,218249.12902224116,218633.58063070086,384.45160845969804,16.21249121819578,16.147287830901277,-0.06520338729450259,22.602678571428573,22.703869047619047,0.1011904761904745
BLOCK,WEEKLY_672_STEPS,3,2016,2687,672,False,147387.37470565905,147453.3240444854,65.94933882635087,6363.0,6383.0,20.0,92922.09190857608,92698.26236437305,-223.82954420303577,196969.84684505206,196889.25568594658,-80.59115910547553,16.852046165941644,16.695919162887552,-0.15612700305409177,21.34672619047619,21.492559523809526,0.1458333333333357
BLOCK,WEEKLY_672_STEPS,4,2688,3359,672,False,118336.8113723485,118461.20241058338,124.39103823488404,5449.0,5482.0,33.0,100169.29885214435,100203.8181748619,34.519322717547766,207406.71403183194,207544.48977580777,137.77574397582794,14.418093999851138,14.237691274142787,-0.18040272570835114,19.157738095238095,19.370535714285715,0.2127976190476204
BLOCK,WEEKLY_672_STEPS,5,3360,4031,672,False,113836.090200352,113987.15056551713,151.06036516513268,4951.0,4963.0,12.0,101034.32821849009,101059.16852460685,24.840306116762804,195651.1424671854,195935.95700023125,284.81453304586466,16.322113159173362,16.186851240053507,-0.13526191911985563,21.148809523809526,21.4375,0.2886904761904745
BLOCK,WEEKLY_672_STEPS,6,4032,4703,672,False,204984.2344977184,205097.1922291158,112.95773139741505,9219.0,9315.0,96.0,104624.69383824561,104857.84157506574,233.14773682013038,224375.97208904615,225139.31344093836,763.3413518922171,23.19194204452188,23.17003370639093,-0.021908338130948835,31.25297619047619,31.714285714285715,0.4613095238095255
BLOCK,WEEKLY_672_STEPS,7,4704,5375,672,False,264989.9969124124,265122.7561718556,132.75925944320625,10379.0,10454.0,75.0,103293.28333385872,103189.70008561295,-103.58324824577721,225569.319614243,225724.75110082998,155.43148658698192,29.47754857971168,29.39818101043874,-0.07936756927293942,40.748511904761905,41.04761904761905,0.2991071428571459
BLOCK,WEEKLY_672_STEPS,8,5376,6047,672,False,180093.3167539703,180124.65347979558,31.33672582526924,8065.0,8130.0,65.0,103940.41463230073,103832.53156018666,-107.88307211406936,243121.07759670416,243636.438355198,515.3607584938582,21.15033370671791,21.097047492362773,-0.05328621435513625,30.251488095238095,30.580357142857142,0.32886904761904745
BLOCK,WEEKLY_672_STEPS,9,6048,6719,672,False,152238.79438290026,152307.0002516674,68.20586876713787,6324.0,6423.0,99.0,115165.85436133502,114949.96035356968,-215.89400776533876,235015.37190964853,235559.87812836198,544.5062187134463,17.044085188459476,17.3721886333254,0.32810344486592413,23.71279761904762,24.107142857142858,0.39434523809523725
BLOCK,WEEKLY_672_STEPS,10,6720,7391,672,False,196377.55325177324,196549.9134518307,172.3602000574756,8326.0,8373.0,47.0,96752.23795668718,96569.55465230283,-182.68330438435078,220445.15375336242,221170.30478479865,725.151031436224,21.606235790681055,21.539106395638775,-0.06712939504227933,30.81845238095238,31.011904761904763,0.19345238095238315
BLOCK,WEEKLY_672_STEPS,11,7392,8063,672,False,189934.9063505967,190003.64951433626,68.7431637395639,8635.0,8665.0,30.0,102982.7834393118,103378.34956986127,395.5661305494723,211410.94903275036,212735.6773977208,1324.7283649704477,21.15358384479228,21.332542064689797,0.1789582198975168,29.90922619047619,30.135416666666668,0.22619047619047805
BLOCK,WEEKLY_672_STEPS,12,8064,8735,672,False,177294.52893933508,177525.68925539934,231.1603160642553,8782.0,8891.0,109.0,103584.9631794928,103498.01445760005,-86.94872189275338,209939.05951427695,210910.6714724133,971.6119581363455,19.25482108161503,19.068800833308998,-0.1860202483060327,27.770833333333332,28.288690476190474,0.5178571428571423
BLOCK,WEEKLY_672_STEPS,13,8736,9407,672,False,536837.3525027316,537136.8965124242,299.5440096926177,11188.0,11346.0,158.0,105630.57034225264,105781.28394893315,150.71360668051057,214450.66928305652,215542.55807484104,1091.8887917845277,52.353705603921114,54.36064580226511,2.0069401983439974,81.11904761904762,81.55059523809524,0.4315476190476204
BLOCK,WEEKLY_672_STEPS,14,9408,10079,672,False,81447.80824954566,81648.28704766158,200.47879811591702,4516.0,4540.0,24.0,90625.80987797503,90159.4958635976,-466.3140143774217,186229.2870183905,186626.541635464,397.25461707351496,11.248005622496077,11.189904388771502,-0.05810123372457454,14.162202380952381,14.376488095238095,0.21428571428571352
BLOCK,WEEKLY_672_STEPS,15,10080,10751,672,False,147538.45637161972,147860.12280873198,321.6664371122606,7229.0,7250.0,21.0,95833.32324922101,95588.4029811759,-244.9202680451126,207035.98614277793,207837.6593405187,801.6731977407762,16.929969229403746,16.669436556355635,-0.260532673048111,23.47470238095238,23.675595238095237,0.20089285714285765
BLOCK,WEEKLY_672_STEPS,16,10752,11423,672,False,159822.73559738783,160154.7802006416,332.04460325377295,8029.0,8075.0,46.0,87006.7641506168,86917.02540465142,-89.73874596538371,209017.1893619685,210236.55719918123,1219.3678372127179,18.50957645870995,18.364564125366986,-0.14501233334296515,26.520833333333332,26.821428571428573,0.3005952380952408
BLOCK,WEEKLY_672_STEPS,17,11424,12095,672,False,134069.52184220287,134460.66086354764,391.13902134477394,6126.0,6132.0,6.0,101953.95096340848,101687.66176304375,-266.28920036472846,238693.63832485874,239637.43798294535,943.7996580866165,19.035777825466923,18.77929779372142,-0.2564800317455038,24.71875,24.83779761904762,0.1190476190476204
BLOCK,WEEKLY_672_STEPS,18,12096,12767,672,False,94285.29090772977,94347.98034462026,62.68943689049047,6361.0,6372.0,11.0,85045.56660365454,85016.28905938339,-29.27754427115724,204364.7743611547,205459.04296777473,1094.2686066200258,12.767264609038632,12.563228163258612,-0.20403644578001945,18.066964285714285,18.264880952380953,0.19791666666666785
BLOCK,WEEKLY_672_STEPS,19,12768,13439,672,False,80423.83167430552,80444.64650927461,20.814834969089134,4459.0,4463.0,4.0,71902.77594441257,71950.94481171182,48.1688672992459,186524.88221692498,187387.2525028225,862.3702858975157,10.072579144092948,10.014758786498257,-0.057820357594691174,14.151785714285714,14.200892857142858,0.049107142857144126
BLOCK,WEEKLY_672_STEPS,20,13440,14111,672,False,122001.08499299656,122061.85910208209,60.774109085527016,6030.0,6047.0,17.0,64537.97156791537,64420.62611137554,-117.34545653982786,178905.28728643342,179471.83658795594,566.549301522522,13.625260935511427,13.690985949904285,0.06572501439285716,20.324404761904763,20.438988095238095,0.11458333333333215
BLOCK,WEEKLY_672_STEPS,21,14112,14783,672,False,94870.6711137383,94919.25038211065,48.57926837235573,5620.0,5625.0,5.0,66665.30866160672,66689.93358059313,24.62491898641747,190947.38802945265,191405.17071081186,457.782681359211,11.407021637171834,11.532212140777272,0.12519050360543815,16.538690476190474,16.665178571428573,0.12648809523809845
BLOCK,WEEKLY_672_STEPS,22,14784,15455,672,False,109569.11062061621,109604.70931010137,35.59868948516669,6414.0,6428.0,14.0,70531.90155763376,70589.54501916976,57.64346153600491,185213.8843743612,185746.81723724157,532.9328628803778,14.082005647864225,14.126063075094601,0.04405742723037598,19.52529761904762,19.680059523809526,0.1547619047619051
BLOCK,WEEKLY_672_STEPS,23,15456,16127,672,False,93791.61178871384,93806.70927207478,15.097483360936167,5986.0,5992.0,6.0,60282.19606106753,60360.59338963323,78.39732856569753,171822.78557120022,172203.49656338728,380.71099218705785,12.254144044901977,12.421024591214483,0.16688054631250537,16.93452380952381,17.052083333333332,0.11755952380952195
BLOCK,WEEKLY_672_STEPS,24,16128,16799,672,False,115487.19395644483,115547.89639715203,60.702440707202186,6331.0,6334.0,3.0,63368.422959937074,63497.542408615074,129.11944867800048,177497.30004442012,177953.68687190214,456.386827482027,16.23825157182228,16.415283783972022,0.17703221214974363,22.672619047619047,22.760416666666668,0.0877976190476204
BLOCK,WEEKLY_672_STEPS,25,16800,17471,672,False,93629.12599557602,93664.08005764172,34.95406206570624,4822.0,4826.0,4.0,71005.43571010606,71009.25337464536,3.817664539295947,187718.14383312222,188092.76995131228,374.6261181900627,11.136096547318008,11.157443133189194,0.021346585871185653,15.763392857142858,15.84375,0.08035714285714235
BLOCK,WEEKLY_672_STEPS,26,17472,17669,198,False,17874.853632763243,17868.21073108963,-6.64290167361105,5871.0,5871.0,0.0,16532.72188115321,16489.28659829708,-43.43528285613138,45870.96274263912,45957.87570125899,86.91295861986873,2.41031844601884,2.347482443247648,-0.06283600277119161,11.707070707070708,11.732323232323232,0.025252525252524194
