controller,priority,phase,task_count,sla_violation_count,sla_violation_rate,objective_sla_penalty,wait_bound_violation_count
H1,ALL,primary,466867,189111,0.4050639689676075,4221072.5,0
H1,ALL,tail,466867,189114,0.40507039478052637,4221072.5,0
H1,HP,primary,415713,177954,0.42806936516298505,4157130.0,0
H1,HP,tail,415713,177957,0.4280765816801495,4157130.0,0
H1,Spot,primary,51154,11157,0.2181061109590648,63942.5,0
H1,Spot,tail,51154,11157,0.2181061109590648,63942.5,0
H4_ORACLE,ALL,primary,466867,190408,0.40784206208620444,4221072.5,3228
H4_ORACLE,ALL,tail,466867,190411,0.4078484878991233,4221072.5,3228
H4_ORACLE,HP,primary,415713,179233,0.4311460069807776,4157130.0,3227
H4_ORACLE,HP,tail,415713,179236,0.4311532234979421,4157130.0,3227
H4_ORACLE,Spot,primary,51154,11175,0.21845798960003127,63942.5,1
H4_ORACLE,Spot,tail,51154,11175,0.21845798960003127,63942.5,1
