controller,priority,phase,task_count,completed_count,completion_rate
H1,ALL,primary,466867,466826,0.9999121805567752
H1,ALL,tail,466867,466867,1.0
H1,HP,primary,415713,415676,0.9999109962883047
H1,HP,tail,415713,415713,1.0
H1,Spot,primary,51154,51150,0.9999218047464519
H1,Spot,tail,51154,51154,1.0
H4_ORACLE,ALL,primary,466867,466826,0.9999121805567752
H4_ORACLE,ALL,tail,466867,466867,1.0
H4_ORACLE,HP,primary,415713,415676,0.9999109962883047
H4_ORACLE,HP,tail,415713,415713,1.0
H4_ORACLE,Spot,primary,51154,51150,0.9999218047464519
H4_ORACLE,Spot,tail,51154,51154,1.0
