priority,metric,h1,h4_oracle,absolute_delta_h4_minus_h1,relative_delta_percent
HP,task_count,415713.0,415713.0,0.0,0.0
HP,primary_sla_violation_count,177954.0,179233.0,1279.0,0.7187250637805276
HP,primary_sla_violation_rate,0.42806936516298505,0.4311460069807776,0.003076641817792547,0.7187250637805237
HP,tail_sla_violation_count,177957.0,179236.0,1279.0,0.7187129475097918
HP,tail_sla_violation_rate,0.4280765816801495,0.4311532234979421,0.0030766418177926025,0.7187129475098009
HP,primary_completed_count,415676.0,415676.0,0.0,0.0
HP,primary_completion_rate,0.9999109962883047,0.9999109962883047,0.0,0.0
HP,tail_completed_count,415713.0,415713.0,0.0,0.0
HP,tail_completion_rate,1.0,1.0,0.0,0.0
HP,waiting_mean_steps,1.0,1.018132702128632,0.01813270212863194,1.813270212863194
HP,waiting_p95_steps,1.0,1.0,0.0,0.0
HP,waiting_max_steps,1.0,43.0,42.0,4200.0
HP,wait_bound_violation_count,0.0,3227.0,3227.0,
HP,migration_count,303408.0,304354.0,946.0,0.31179138321995464
HP,migration_rate,0.7298496799474637,0.7321252883599983,0.002275608412534602,0.31179138321995364
HP,transmission_amount_gb,6087.147486846051,6106.126688193923,18.979201347871822,0.31179138321988586
HP,transmission_cost_usd,440.88756956406473,443.07318710617653,2.1856175421117996,0.4957312686934828
HP,objective_electricity,22420.20823953303,23379.875916441502,959.6676769084734,4.280369150257552
HP,objective_carbon,64712.534356501215,66757.9137931239,2045.3794366226793,3.160716014234102
HP,objective_sla_risk,4157130.0,4157130.0,0.0,0.0
HP,action_stage_cost,4244703.6301656,4247710.8628966715,3007.232731071301,0.0708467066982007
HP,placement_dc1_count,122785.0,128145.0,5360.0,4.36535407419473
HP,placement_dc2_count,99018.0,95493.0,-3525.0,-3.5599587953705387
HP,placement_dc3_count,115582.0,113823.0,-1759.0,-1.5218632659064562
HP,placement_dc4_count,72008.0,71992.0,-16.0,-0.0222197533607377
HP,placement_dc5_count,6320.0,6260.0,-60.0,-0.949367088607595
Spot,task_count,51154.0,51154.0,0.0,0.0
Spot,primary_sla_violation_count,11157.0,11175.0,18.0,0.16133369185264856
Spot,primary_sla_violation_rate,0.2181061109590648,0.21845798960003127,0.00035187864096647425,0.16133369185263982
Spot,tail_sla_violation_count,11157.0,11175.0,18.0,0.16133369185264856
Spot,tail_sla_violation_rate,0.2181061109590648,0.21845798960003127,0.00035187864096647425,0.16133369185263982
Spot,primary_completed_count,51150.0,51150.0,0.0,0.0
Spot,primary_completion_rate,0.9999218047464519,0.9999218047464519,0.0,0.0
Spot,tail_completed_count,51154.0,51154.0,0.0,0.0
Spot,tail_completion_rate,1.0,1.0,0.0,0.0
Spot,waiting_mean_steps,1.0,1.0112014700707668,0.011201470070766772,1.1201470070766772
Spot,waiting_p95_steps,1.0,1.0,0.0,0.0
Spot,waiting_max_steps,1.0,40.0,39.0,3900.0
Spot,wait_bound_violation_count,0.0,1.0,1.0,
Spot,migration_count,37571.0,37719.0,148.0,0.39392084320353465
Spot,migration_rate,0.7344684677640068,0.7373616921452868,0.002893224381280035,0.39392084320353177
Spot,transmission_amount_gb,753.7712197051261,756.7404816496141,2.9692619444880393,0.3939208432035398
Spot,transmission_cost_usd,56.13710707345861,55.63811056613898,-0.49899650731963163,-0.8888888888888881
Spot,objective_electricity,2995.891958994563,3090.4043366615974,94.51237766703434,3.1547325124085313
Spot,objective_carbon,8807.147524696637,9048.167063242327,241.01953854569,2.7366356458755012
Spot,objective_sla_risk,63942.5,63942.5,0.0,0.0
Spot,action_stage_cost,75801.67659076465,76136.70951047006,335.03291970540886,0.4419861601665785
Spot,placement_dc1_count,18498.0,17076.0,-1422.0,-7.68731754784301
Spot,placement_dc2_count,13957.0,13889.0,-68.0,-0.48721071863580995
Spot,placement_dc3_count,13063.0,13807.0,744.0,5.695475771262344
Spot,placement_dc4_count,5404.0,6131.0,727.0,13.452997779422649
Spot,placement_dc5_count,232.0,251.0,19.0,8.189655172413794
