duration_group,metric,h1,h4_oracle,absolute_delta_h4_minus_h1,relative_delta_percent
1-6h,task_count,65561.0,65561.0,0.0,0.0
1-6h,primary_sla_violation_count,54952.0,54979.0,27.0,0.04913378948900859
1-6h,primary_sla_violation_rate,0.8381812357956712,0.8385930659996034,0.0004118302039322064,0.04913378948900747
1-6h,tail_sla_violation_count,54952.0,54979.0,27.0,0.04913378948900859
1-6h,tail_sla_violation_rate,0.8381812357956712,0.8385930659996034,0.0004118302039322064,0.04913378948900747
1-6h,primary_completed_count,65548.0,65548.0,0.0,0.0
1-6h,primary_completion_rate,0.9998017113832919,0.9998017113832919,0.0,0.0
1-6h,tail_completed_count,65561.0,65561.0,0.0,0.0
1-6h,tail_completion_rate,1.0,1.0,0.0,0.0
1-6h,waiting_mean_steps,1.0,1.0116532694742302,0.011653269474230177,1.1653269474230177
1-6h,waiting_p95_steps,1.0,1.0,0.0,0.0
1-6h,waiting_max_steps,1.0,8.0,7.0,700.0
1-6h,wait_bound_violation_count,0.0,433.0,433.0,
1-6h,migration_count,48338.0,48450.0,112.0,0.2317017667259713
1-6h,migration_rate,0.7372980888027943,0.7390064215005873,0.0017083326977929136,0.23170176672597376
1-6h,transmission_amount_gb,969.7850261666281,972.0320352057001,2.2470090390720543,0.23170176672597684
1-6h,transmission_cost_usd,70.92447293378437,70.7567096339208,-0.16776329986356586,-0.23653795780786552
1-6h,objective_electricity,5696.181506960865,5886.439839545542,190.2583325846772,3.3401030559187266
1-6h,objective_carbon,16885.18652192077,17304.87628273587,419.6897608151012,2.48555004275641
1-6h,objective_sla_risk,516030.0,516030.0,0.0,0.0
1-6h,action_stage_cost,538682.2925018154,539292.0728319153,609.7803300999803,0.11319851025136962
1-6h,placement_dc1_count,21646.0,21452.0,-194.0,-0.8962394899750531
1-6h,placement_dc2_count,16512.0,16311.0,-201.0,-1.217296511627907
1-6h,placement_dc3_count,17977.0,18102.0,125.0,0.6953329254046837
1-6h,placement_dc4_count,8851.0,9110.0,259.0,2.9262230256468196
1-6h,placement_dc5_count,575.0,586.0,11.0,1.9130434782608694
24-48h,task_count,5700.0,5700.0,0.0,0.0
24-48h,primary_sla_violation_count,5700.0,5700.0,0.0,0.0
24-48h,primary_sla_violation_rate,1.0,1.0,0.0,0.0
24-48h,tail_sla_violation_count,5700.0,5700.0,0.0,0.0
24-48h,tail_sla_violation_rate,1.0,1.0,0.0,0.0
24-48h,primary_completed_count,5700.0,5700.0,0.0,0.0
24-48h,primary_completion_rate,1.0,1.0,0.0,0.0
24-48h,tail_completed_count,5700.0,5700.0,0.0,0.0
24-48h,tail_completion_rate,1.0,1.0,0.0,0.0
24-48h,waiting_mean_steps,1.0,1.0368421052631578,0.03684210526315779,3.6842105263157787
24-48h,waiting_p95_steps,1.0,1.0,0.0,0.0
24-48h,waiting_max_steps,1.0,43.0,42.0,4200.0
24-48h,wait_bound_violation_count,0.0,40.0,40.0,
24-48h,migration_count,4153.0,4141.0,-12.0,-0.28894774861545874
24-48h,migration_rate,0.7285964912280701,0.7264912280701754,-0.002105263157894721,-0.2889477486154566
24-48h,transmission_amount_gb,83.319897672018,83.07914670354602,-0.24075096847198552,-0.2889477486154413
24-48h,transmission_cost_usd,6.0207804698706004,5.9630002374373205,-0.0577802324332799,-0.9596801066311212
24-48h,objective_electricity,607.703423715421,626.9160115527334,19.212587837312412,3.1615072562614683
24-48h,objective_carbon,1791.1341328391716,1853.0773961528562,61.94326331368461,3.4583263295584006
24-48h,objective_sla_risk,52905.0,52905.0,0.0,0.0
24-48h,action_stage_cost,55309.85833702446,55390.95640794303,81.09807091856783,0.14662498396652143
24-48h,placement_dc1_count,1691.0,1692.0,1.0,0.05913660555884093
24-48h,placement_dc2_count,1337.0,1257.0,-80.0,-5.983545250560957
24-48h,placement_dc3_count,1632.0,1670.0,38.0,2.3284313725490198
24-48h,placement_dc4_count,960.0,992.0,32.0,3.3333333333333335
24-48h,placement_dc5_count,80.0,89.0,9.0,11.25
48-72h,task_count,3360.0,3360.0,0.0,0.0
48-72h,primary_sla_violation_count,3360.0,3360.0,0.0,0.0
48-72h,primary_sla_violation_rate,1.0,1.0,0.0,0.0
48-72h,tail_sla_violation_count,3360.0,3360.0,0.0,0.0
48-72h,tail_sla_violation_rate,1.0,1.0,0.0,0.0
48-72h,primary_completed_count,3359.0,3359.0,0.0,0.0
48-72h,primary_completion_rate,0.999702380952381,0.999702380952381,0.0,0.0
48-72h,tail_completed_count,3360.0,3360.0,0.0,0.0
48-72h,tail_completion_rate,1.0,1.0,0.0,0.0
48-72h,waiting_mean_steps,1.0,1.0470238095238096,0.04702380952380958,4.702380952380958
48-72h,waiting_p95_steps,1.0,1.0,0.0,0.0
48-72h,waiting_max_steps,1.0,42.0,41.0,4100.0
48-72h,wait_bound_violation_count,0.0,22.0,22.0,
48-72h,migration_count,2409.0,2443.0,34.0,1.41137401411374
48-72h,migration_rate,0.7169642857142857,0.7270833333333333,0.010119047619047583,1.4113740141137352
48-72h,transmission_amount_gb,48.330756920754,49.012884664758005,0.6821277440040063,1.4113740141137534
48-72h,transmission_cost_usd,3.516087644210736,3.5502341565723485,0.03414651236161248,0.9711507737253069
48-72h,objective_electricity,389.88685484102956,406.43158687000636,16.544732028976796,4.243470079472841
48-72h,objective_carbon,1057.836153587362,1085.7539088547157,27.91775526735364,2.6391379395266656
48-72h,objective_sla_risk,32121.25,32121.25,0.0,0.0
48-72h,action_stage_cost,33572.489096072604,33616.98572988129,44.496633808688784,0.1325389776175223
48-72h,placement_dc1_count,957.0,941.0,-16.0,-1.671891327063741
48-72h,placement_dc2_count,826.0,841.0,15.0,1.8159806295399514
48-72h,placement_dc3_count,940.0,955.0,15.0,1.5957446808510638
48-72h,placement_dc4_count,568.0,569.0,1.0,0.17605633802816903
48-72h,placement_dc5_count,69.0,54.0,-15.0,-21.73913043478261
6-24h,task_count,28365.0,28365.0,0.0,0.0
6-24h,primary_sla_violation_count,28346.0,28346.0,0.0,0.0
6-24h,primary_sla_violation_rate,0.9993301604089547,0.9993301604089547,0.0,0.0
6-24h,tail_sla_violation_count,28346.0,28346.0,0.0,0.0
6-24h,tail_sla_violation_rate,0.9993301604089547,0.9993301604089547,0.0,0.0
6-24h,primary_completed_count,28355.0,28355.0,0.0,0.0
6-24h,primary_completion_rate,0.9996474528468182,0.9996474528468182,0.0,0.0
6-24h,tail_completed_count,28365.0,28365.0,0.0,0.0
6-24h,tail_completion_rate,1.0,1.0,0.0,0.0
6-24h,waiting_mean_steps,1.0,1.0135025559668607,0.013502555966860674,1.3502555966860674
6-24h,waiting_p95_steps,1.0,1.0,0.0,0.0
6-24h,waiting_max_steps,1.0,43.0,42.0,4200.0
6-24h,wait_bound_violation_count,0.0,178.0,178.0,
6-24h,migration_count,21680.0,21794.0,114.0,0.525830258302583
6-24h,migration_rate,0.7643222280980081,0.76834126564428,0.004019037546271864,0.5258302583025896
6-24h,transmission_amount_gb,434.9567497060801,437.24388390656407,2.2871342004839903,0.5258302583025807
6-24h,transmission_cost_usd,32.51301704052948,32.48890181852087,-0.024115222008610715,-0.07417097582346664
6-24h,objective_electricity,2487.047183670303,2576.097492542984,89.05030887268094,3.580563708536619
6-24h,objective_carbon,7118.042228773019,7366.491897647338,248.4496688743193,3.4904213952260594
6-24h,objective_sla_risk,247390.0,247390.0,0.0,0.0
6-24h,action_stage_cost,257027.60242948384,257365.07829200884,337.47586252499605,0.13129946330086606
6-24h,placement_dc1_count,10808.0,10563.0,-245.0,-2.266839378238342
6-24h,placement_dc2_count,6964.0,6936.0,-28.0,-0.402067777139575
6-24h,placement_dc3_count,5666.0,5809.0,143.0,2.523826332509707
6-24h,placement_dc4_count,4563.0,4657.0,94.0,2.0600482138943677
6-24h,placement_dc5_count,364.0,400.0,36.0,9.89010989010989
<1h,task_count,335853.0,335853.0,0.0,0.0
<1h,primary_sla_violation_count,68725.0,69995.0,1270.0,1.8479447071662423
<1h,primary_sla_violation_rate,0.20462821532039316,0.2084096315947751,0.0037814162743819435,1.8479447071662405
<1h,tail_sla_violation_count,68728.0,69998.0,1270.0,1.8478640437667326
<1h,tail_sla_violation_rate,0.20463714779978145,0.2084185640741634,0.0037814162743819435,1.847864043766731
<1h,primary_completed_count,335841.0,335841.0,0.0,0.0
<1h,primary_completion_rate,0.9999642700824468,0.9999642700824468,0.0,0.0
<1h,tail_completed_count,335853.0,335853.0,0.0,0.0
