duration_error_group,metric,h1,h4_oracle,absolute_delta_h4_minus_h1,relative_delta_percent
high,task_count,175969.0,175969.0,0.0,0.0
high,primary_sla_violation_count,135723.0,135758.0,35.0,0.02578781783485481
high,primary_sla_violation_rate,0.7712892611766845,0.7714881598463366,0.00019889866965205893,0.025787817834857143
high,tail_sla_violation_count,135723.0,135758.0,35.0,0.02578781783485481
high,tail_sla_violation_rate,0.7712892611766845,0.7714881598463366,0.00019889866965205893,0.025787817834857143
high,primary_completed_count,175938.0,175938.0,0.0,0.0
high,primary_completion_rate,0.9998238326068796,0.9998238326068796,0.0,0.0
high,tail_completed_count,175969.0,175969.0,0.0,0.0
high,tail_completion_rate,1.0,1.0,0.0,0.0
high,waiting_mean_steps,1.0,1.0149685455960993,0.01496854559609928,1.496854559609928
high,waiting_p95_steps,1.0,1.0,0.0,0.0
high,waiting_max_steps,1.0,43.0,42.0,4200.0
high,wait_bound_violation_count,0.0,1172.0,1172.0,
high,migration_count,130068.0,130478.0,410.0,0.315219731217517
high,migration_rate,0.7391529189800476,0.741482874824543,0.002329955844495357,0.31521973121751967
high,transmission_amount_gb,2609.4997472680084,2617.7254053574684,8.225658089460012,0.3152197312175174
high,transmission_cost_usd,192.27403558822212,191.6511325824622,-0.6229030057599232,-0.32396626193145733
high,objective_electricity,16436.455806851434,17279.21153655851,842.7557297070744,5.127356770890819
high,objective_carbon,48071.54946268673,49900.39983607005,1828.8503733833204,3.8044340027002437
high,objective_sla_risk,1498143.75,1498143.75,0.0,0.0
high,action_stage_cost,1562844.0293051263,1565515.0125052112,2670.9832000848837,0.17090529509028868
high,placement_dc1_count,58664.0,57682.0,-982.0,-1.6739397245329333
high,placement_dc2_count,44552.0,43841.0,-711.0,-1.595887951158197
high,placement_dc3_count,45930.0,46610.0,680.0,1.4805138253864576
high,placement_dc4_count,24939.0,25874.0,935.0,3.7491479209270624
high,placement_dc5_count,1884.0,1962.0,78.0,4.140127388535031
low,task_count,130257.0,130257.0,0.0,0.0
low,primary_sla_violation_count,438.0,1250.0,812.0,185.3881278538813
low,primary_sla_violation_rate,0.0033625832009028305,0.009596413244585704,0.006233830043682873,185.3881278538813
low,tail_sla_violation_count,438.0,1250.0,812.0,185.3881278538813
low,tail_sla_violation_rate,0.0033625832009028305,0.009596413244585704,0.006233830043682873,185.3881278538813
low,primary_completed_count,130255.0,130255.0,0.0,0.0
low,primary_completion_rate,0.9999846457388086,0.9999846457388086,0.0,0.0
low,tail_completed_count,130257.0,130257.0,0.0,0.0
low,tail_completion_rate,1.0,1.0,0.0,0.0
low,waiting_mean_steps,1.0,1.0126826197440444,0.012682619744044388,1.2682619744044388
low,waiting_p95_steps,1.0,1.0,0.0,0.0
low,waiting_max_steps,1.0,43.0,42.0,4200.0
low,wait_bound_violation_count,0.0,822.0,822.0,
low,migration_count,92562.0,92731.0,169.0,0.18258032453922776
low,migration_rate,0.7106105621962735,0.7119079972669415,0.0012974350706680404,0.18258032453923526
low,transmission_amount_gb,1857.0325953087727,1860.4231714480864,3.39057613931368,0.18258032453921047
low,transmission_cost_usd,131.7468346046766,133.74502751783277,1.9981929131561742,1.516691402227621
low,objective_electricity,1908.2620409826236,1924.1823023324187,15.920261349795055,0.8342806704679413
low,objective_carbon,5295.483347112632,5334.359844113096,38.87649700046404,0.7341444482430767
low,objective_sla_risk,1271962.5,1271962.5,0.0,0.0
low,action_stage_cost,1279297.9922227,1279354.7871739634,56.7949512633495,0.004439540404864689
low,placement_dc1_count,32147.0,35848.0,3701.0,11.51273835816717
low,placement_dc2_count,30382.0,29116.0,-1266.0,-4.166940951879402
low,placement_dc3_count,40005.0,38166.0,-1839.0,-4.596925384326959
low,placement_dc4_count,25354.0,24867.0,-487.0,-1.9208014514475034
low,placement_dc5_count,2369.0,2260.0,-109.0,-4.601097509497679
medium,task_count,160641.0,160641.0,0.0,0.0
medium,primary_sla_violation_count,52950.0,53400.0,450.0,0.84985835694051
medium,primary_sla_violation_rate,0.32961697200590134,0.33241824938838777,0.0028012773824864223,0.8498583569405126
medium,tail_sla_violation_count,52953.0,53403.0,450.0,0.8498102090533114
medium,tail_sla_violation_rate,0.3296356471884513,0.3324369245709377,0.0028012773824864223,0.8498102090533141
medium,primary_completed_count,160633.0,160633.0,0.0,0.0
medium,primary_completion_rate,0.9999501995132002,0.9999501995132002,0.0,0.0
medium,tail_completed_count,160641.0,160641.0,0.0,0.0
medium,tail_completion_rate,1.0,1.0,0.0,0.0
medium,waiting_mean_steps,1.0,1.0238108577511345,0.02381085775113445,2.381085775113445
medium,waiting_p95_steps,1.0,1.0,0.0,0.0
medium,waiting_max_steps,1.0,43.0,42.0,4200.0
medium,wait_bound_violation_count,0.0,1234.0,1234.0,
medium,migration_count,118349.0,118864.0,515.0,0.43515365571318726
medium,migration_rate,0.7367297265330769,0.7399356328708113,0.003205906337734432,0.43515365571318465
medium,transmission_amount_gb,2374.3863639743945,2384.7185930379837,10.332229063589239,0.4351536557131551
medium,transmission_cost_usd,173.00380644462487,173.31513757202063,0.31133112739576063,0.17995622974654701
medium,objective_electricity,7071.382350693532,7266.886414212167,195.50406351863512,2.7647219995035464
medium,objective_carbon,20152.649071398504,20571.321176183083,418.67210478457855,2.07750407056299
medium,objective_sla_risk,1450966.25,1450966.25,0.0,0.0
medium,action_stage_cost,1478363.2852285367,1478977.7727279672,614.4874994305428,0.041565392320707606
medium,placement_dc1_count,50472.0,51691.0,1219.0,2.415200507211919
medium,placement_dc2_count,38041.0,36425.0,-1616.0,-4.248048158565758
medium,placement_dc3_count,42710.0,42854.0,144.0,0.33715757433856236
medium,placement_dc4_count,27119.0,27382.0,263.0,0.9697997713780007
medium,placement_dc5_count,2299.0,2289.0,-10.0,-0.4349717268377556
