record_type,pressure_band,controller,metric,aggregation,train_p95_new_gpu_demand_threshold,steps,h1,h4_oracle,absolute_delta_h4_minus_h1,relative_delta_percent,frozen_risk_threshold,risk_mean,stage_cost_sum,electricity_cost_sum,carbon_kg_sum,backlog_mean
EXTERNAL_PRESSURE,HIGH_GE_TRAIN_P95,PAIRED,stage_cost,sum,138.1,868,675507.1897525284,676011.2274573193,504.03770479082596,0.07461618653910697,,,,,,
EXTERNAL_PRESSURE,HIGH_GE_TRAIN_P95,PAIRED,stage_sla_risk,sum,138.1,868,656155.0,656155.0,0.0,0.0,,,,,,
EXTERNAL_PRESSURE,HIGH_GE_TRAIN_P95,PAIRED,physical_electricity_cost_usd,sum,138.1,868,122311.13618314486,122616.97654446395,305.8403613190894,0.25005111624597587,,,,,,
EXTERNAL_PRESSURE,HIGH_GE_TRAIN_P95,PAIRED,physical_carbon_kg,sum,138.1,868,295870.0341525698,297433.76823364804,1563.7340810782625,0.5285206004579361,,,,,,
EXTERNAL_PRESSURE,HIGH_GE_TRAIN_P95,PAIRED,backlog,mean,138.1,868,82.22695852534562,82.38018433179724,0.15322580645161565,0.18634497639163605,,,,,,
EXTERNAL_PRESSURE,LOW_LT_TRAIN_P95,PAIRED,stage_cost,sum,138.1,16802,3644998.1170038343,3647836.3449498224,2838.2279459880665,0.0778663761922893,,,,,,
EXTERNAL_PRESSURE,LOW_LT_TRAIN_P95,PAIRED,stage_sla_risk,sum,138.1,16802,3564917.5,3564917.5,0.0,0.0,,,,,,
EXTERNAL_PRESSURE,LOW_LT_TRAIN_P95,PAIRED,physical_electricity_cost_usd,sum,138.1,16802,2232737.5704401913,2231252.2188900867,-1485.3515501045622,-0.06652602481229894,,,,,,
EXTERNAL_PRESSURE,LOW_LT_TRAIN_P95,PAIRED,physical_carbon_kg,sum,138.1,16802,5088491.511572679,5102680.045287409,14188.533714730293,0.2788357548098789,,,,,,
EXTERNAL_PRESSURE,LOW_LT_TRAIN_P95,PAIRED,backlog,mean,138.1,16802,23.538507320557077,24.01333174622069,0.4748244256636127,2.0172240286831205,,,,,,
TRAJECTORY_RISK,HIGH_GE_FROZEN_TRAIN_P95,H1,trajectory_descriptive,mixed,,1573,,,,,0.72463503649635,0.7447013776221341,774174.68189822,235355.24109179902,557220.389198223,52.99300699300699
TRAJECTORY_RISK,LOW_LT_FROZEN_TRAIN_P95,H1,trajectory_descriptive,mixed,,16097,,,,,0.72463503649635,0.6511396044261158,3546330.624858143,2119693.4655315373,4827141.156527027,23.82487420016152
TRAJECTORY_RISK,HIGH_GE_FROZEN_TRAIN_P95,H4_ORACLE,trajectory_descriptive,mixed,,1577,,,,,0.72463503649635,0.7447108099989985,776621.4322939375,236002.50092863047,561356.5861626754,53.144578313253014
TRAJECTORY_RISK,LOW_LT_FROZEN_TRAIN_P95,H4_ORACLE,trajectory_descriptive,mixed,,16093,,,,,0.72463503649635,0.6512217513363964,3547226.1401132043,2117866.6945059206,4838757.227358382,24.306779345056857
