time_scope,dc_id,location,task_count,observed_share,activity_adjusted_target_share,absolute_share_error,configured_population_weight,total_tasks_in_scope,provenance
ALL,1,US-CAL-CISO,84962,0.18198330573803675,0.18235112056500669,0.00036781482696993106,0.18,466867,MODELED_ORIGIN
ALL,2,DE-LU,110348,0.23635853465762197,0.23598750752451292,0.00037102713310904756,0.22,466867,MODELED_ORIGIN
ALL,3,CL-SIC,99440,0.21299427888456454,0.21236779574833026,0.0006264831362342849,0.2,466867,MODELED_ORIGIN
ALL,4,SG,109357,0.23423587445675106,0.23419707420047195,3.880025627911454e-05,0.25,466867,MODELED_ORIGIN
ALL,5,AU-NSW,62760,0.13442800626302565,0.13509650196167805,0.0006684956986524049,0.15,466867,MODELED_ORIGIN
UTC_00_05,1,US-CAL-CISO,16220,0.17458694365211774,0.17431627999260668,0.0002706636595110612,0.18,92905,MODELED_ORIGIN
UTC_00_05,2,DE-LU,9082,0.09775577202518702,0.09858511040725063,0.0008293383820636019,0.22,92905,MODELED_ORIGIN
UTC_00_05,3,CL-SIC,12154,0.13082180722243153,0.12961309198044207,0.0012087152419894553,0.2,92905,MODELED_ORIGIN
UTC_00_05,4,SG,34783,0.3743931973521339,0.3734284485123129,0.0009647488398210058,0.25,92905,MODELED_ORIGIN
UTC_00_05,5,AU-NSW,20666,0.2224422797481298,0.2240570691073878,0.0016147893592579898,0.15,92905,MODELED_ORIGIN
UTC_06_11,1,US-CAL-CISO,9454,0.0836792678285345,0.08339628295643543,0.0002829848720990735,0.18,112979,MODELED_ORIGIN
UTC_06_11,2,DE-LU,34612,0.3063578187096717,0.3063153442457133,4.247446395844179e-05,0.22,112979,MODELED_ORIGIN
UTC_06_11,3,CL-SIC,10565,0.09351295373476487,0.09266253661826158,0.0008504171165032853,0.2,112979,MODELED_ORIGIN
UTC_06_11,4,SG,43436,0.38446082900362016,0.38609390257609,0.0016330735724698342,0.25,112979,MODELED_ORIGIN
UTC_06_11,5,AU-NSW,14912,0.1319891307234088,0.1315319336034996,0.0004571971199091862,0.15,112979,MODELED_ORIGIN
UTC_12_17,1,US-CAL-CISO,25706,0.18130907039074623,0.18170210939543022,0.0003930390046839871,0.18,141780,MODELED_ORIGIN
UTC_12_17,2,DE-LU,49940,0.35223585837212584,0.3508989560532622,0.0013369023188636309,0.22,141780,MODELED_ORIGIN
UTC_12_17,3,CL-SIC,38940,0.2746508675412611,0.2759995039768006,0.0013486364355395075,0.2,141780,MODELED_ORIGIN
UTC_12_17,4,SG,17009,0.11996755536747072,0.11962464410906669,0.0003429112584040356,0.25,141780,MODELED_ORIGIN
UTC_12_17,5,AU-NSW,10185,0.0718366483283961,0.07177478646544,6.186186295610574e-05,0.15,141780,MODELED_ORIGIN
UTC_18_23,1,US-CAL-CISO,33582,0.281721097623382,0.2831733504181154,0.001452252794733433,0.18,119203,MODELED_ORIGIN
UTC_18_23,2,DE-LU,16714,0.140214591914633,0.13974543196306494,0.0004691599515680711,0.22,119203,MODELED_ORIGIN
UTC_18_23,3,CL-SIC,37781,0.3169467211395686,0.31463705602012826,0.002309665119440363,0.2,119203,MODELED_ORIGIN
UTC_18_23,4,SG,14129,0.11852889608483008,0.1179888960075481,0.0005400000772819852,0.25,119203,MODELED_ORIGIN
UTC_18_23,5,AU-NSW,16997,0.1425886932375863,0.14445526559114305,0.0018665723535567502,0.15,119203,MODELED_ORIGIN
