timestamp,online_load,batch_load,price,carbon,outdoor_temp,renewable
2026-01-01 00:00,0.32,0.22,0.34,505,6.0,0.00
2026-01-01 00:15,0.31,0.21,0.33,500,5.8,0.00
2026-01-01 00:30,0.30,0.20,0.32,498,5.6,0.00
2026-01-01 00:45,0.30,0.20,0.32,496,5.4,0.00
2026-01-01 01:00,0.29,0.20,0.31,492,5.2,0.00
2026-01-01 01:15,0.29,0.19,0.31,490,5.1,0.00
2026-01-01 01:30,0.28,0.19,0.30,488,5.0,0.00
2026-01-01 01:45,0.28,0.19,0.30,486,4.9,0.00
2026-01-01 02:00,0.28,0.18,0.30,484,4.8,0.00
2026-01-01 02:15,0.27,0.18,0.29,482,4.7,0.00
2026-01-01 02:30,0.27,0.18,0.29,480,4.6,0.00
2026-01-01 02:45,0.27,0.18,0.29,478,4.5,0.00
2026-01-01 03:00,0.28,0.19,0.30,480,4.6,0.00
2026-01-01 03:15,0.29,0.19,0.30,482,4.8,0.00
2026-01-01 03:30,0.30,0.20,0.31,486,5.0,0.00
2026-01-01 03:45,0.31,0.21,0.32,490,5.2,0.00
2026-01-01 04:00,0.34,0.24,0.34,500,5.6,0.00
2026-01-01 04:15,0.36,0.25,0.36,510,6.0,0.00
2026-01-01 04:30,0.39,0.27,0.38,520,6.4,0.00
2026-01-01 04:45,0.42,0.29,0.40,532,6.8,0.00
2026-01-01 05:00,0.46,0.31,0.45,548,7.4,0.00
2026-01-01 05:15,0.50,0.33,0.50,560,8.0,0.00
2026-01-01 05:30,0.55,0.36,0.58,575,8.8,0.00
2026-01-01 05:45,0.60,0.38,0.66,590,9.6,0.00
2026-01-01 06:00,0.66,0.40,0.75,610,10.5,0.02
2026-01-01 06:15,0.70,0.42,0.80,625,11.5,0.04
2026-01-01 06:30,0.73,0.43,0.82,640,12.4,0.06
2026-01-01 06:45,0.75,0.44,0.84,650,13.2,0.08
2026-01-01 07:00,0.77,0.44,0.85,655,14.0,0.10
2026-01-01 07:15,0.78,0.43,0.84,650,14.8,0.12
2026-01-01 07:30,0.79,0.42,0.82,640,15.5,0.14
2026-01-01 07:45,0.78,0.40,0.80,630,16.2,0.16
2026-01-01 08:00,0.76,0.38,0.74,610,17.0,0.18
2026-01-01 08:15,0.73,0.35,0.68,590,17.8,0.20
2026-01-01 08:30,0.70,0.33,0.62,565,18.5,0.22
2026-01-01 08:45,0.68,0.31,0.58,545,19.2,0.24
2026-01-01 09:00,0.66,0.30,0.54,530,20.0,0.26
2026-01-01 09:15,0.64,0.30,0.52,515,20.8,0.28
2026-01-01 09:30,0.63,0.29,0.50,505,21.5,0.30
2026-01-01 09:45,0.62,0.29,0.49,498,22.2,0.32
2026-01-01 10:00,0.63,0.30,0.48,490,23.0,0.34
2026-01-01 10:15,0.65,0.31,0.48,482,23.6,0.36
2026-01-01 10:30,0.67,0.32,0.49,476,24.0,0.38
2026-01-01 10:45,0.69,0.33,0.50,470,24.4,0.40
2026-01-01 11:00,0.71,0.34,0.52,468,24.8,0.42
2026-01-01 11:15,0.73,0.35,0.54,466,25.0,0.44
2026-01-01 11:30,0.75,0.36,0.56,464,25.2,0.46
