task_id,arrival_time,duration_steps,cpu_cores,gpu_units,memory_gb,deadline_time,priority,deferrable
task-00001,2026-01-01T00:15:00+08:00,4,120.0,12.0,256.0,2026-01-01T01:45:00+08:00,3,False
task-00002,2026-01-01T00:15:00+08:00,1,160.0,12.0,256.0,2026-01-01T02:00:00+08:00,4,True
task-00003,2026-01-01T00:30:00+08:00,1,40.0,4.0,64.0,2026-01-01T01:00:00+08:00,2,True
task-00004,2026-01-01T00:30:00+08:00,4,20.0,0.0,96.0,2026-01-01T02:30:00+08:00,0,True
task-00005,2026-01-01T00:45:00+08:00,1,160.0,16.0,256.0,2026-01-01T03:00:00+08:00,1,True
task-00006,2026-01-01T00:45:00+08:00,2,120.0,0.0,128.0,2026-01-01T02:00:00+08:00,5,True
task-00007,2026-01-01T01:00:00+08:00,1,120.0,8.0,64.0,2026-01-01T02:15:00+08:00,3,True
task-00008,2026-01-01T01:00:00+08:00,1,120.0,16.0,128.0,2026-01-01T01:30:00+08:00,2,True
task-00009,2026-01-01T01:15:00+08:00,4,80.0,0.0,256.0,2026-01-01T02:15:00+08:00,0,False
task-00010,2026-01-01T01:15:00+08:00,4,120.0,0.0,64.0,2026-01-01T03:00:00+08:00,0,True
task-00011,2026-01-01T01:30:00+08:00,3,120.0,12.0,64.0,2026-01-01T03:45:00+08:00,2,True
task-00012,2026-01-01T01:30:00+08:00,2,160.0,0.0,256.0,2026-01-01T05:00:00+08:00,1,True
task-00013,2026-01-01T01:45:00+08:00,1,160.0,8.0,32.0,2026-01-01T03:30:00+08:00,0,True
task-00014,2026-01-01T02:15:00+08:00,1,80.0,0.0,256.0,2026-01-01T03:00:00+08:00,1,True
task-00015,2026-01-01T02:15:00+08:00,1,120.0,0.0,128.0,2026-01-01T04:00:00+08:00,0,True
task-00016,2026-01-01T02:30:00+08:00,2,60.0,0.0,32.0,2026-01-01T03:15:00+08:00,2,True
task-00017,2026-01-01T02:30:00+08:00,2,20.0,0.0,64.0,2026-01-01T04:30:00+08:00,2,True
task-00018,2026-01-01T02:45:00+08:00,3,120.0,0.0,32.0,2026-01-01T03:30:00+08:00,0,False
task-00019,2026-01-01T02:45:00+08:00,6,80.0,8.0,64.0,2026-01-01T07:15:00+08:00,3,True
task-00020,2026-01-01T03:00:00+08:00,1,20.0,8.0,128.0,2026-01-01T03:45:00+08:00,2,True
task-00021,2026-01-01T03:00:00+08:00,1,160.0,0.0,256.0,2026-01-01T04:45:00+08:00,2,True
task-00022,2026-01-01T03:15:00+08:00,6,160.0,0.0,256.0,2026-01-01T06:15:00+08:00,4,True
task-00023,2026-01-01T03:30:00+08:00,2,160.0,4.0,64.0,2026-01-01T04:15:00+08:00,2,False
task-00024,2026-01-01T03:30:00+08:00,4,40.0,4.0,256.0,2026-01-01T04:45:00+08:00,3,True
task-00025,2026-01-01T03:45:00+08:00,1,60.0,0.0,32.0,2026-01-01T04:30:00+08:00,5,True
task-00026,2026-01-01T03:45:00+08:00,2,20.0,0.0,64.0,2026-01-01T04:45:00+08:00,2,True
task-00027,2026-01-01T04:15:00+08:00,3,60.0,8.0,64.0,2026-01-01T06:00:00+08:00,3,True
task-00028,2026-01-01T04:30:00+08:00,2,40.0,0.0,64.0,2026-01-01T05:30:00+08:00,2,False
task-00029,2026-01-01T04:30:00+08:00,4,40.0,0.0,256.0,2026-01-01T07:30:00+08:00,1,True
task-00030,2026-01-01T04:45:00+08:00,2,40.0,0.0,128.0,2026-01-01T05:45:00+08:00,0,True
task-00031,2026-01-01T04:45:00+08:00,2,80.0,0.0,128.0,2026-01-01T06:00:00+08:00,5,True
task-00032,2026-01-01T05:00:00+08:00,4,120.0,12.0,128.0,2026-01-01T06:30:00+08:00,4,False
task-00033,2026-01-01T05:15:00+08:00,6,160.0,4.0,256.0,2026-01-01T06:45:00+08:00,3,False
task-00034,2026-01-01T05:15:00+08:00,3,60.0,12.0,32.0,2026-01-01T06:00:00+08:00,1,False
task-00035,2026-01-01T05:30:00+08:00,1,80.0,0.0,256.0,2026-01-01T06:45:00+08:00,2,True
task-00036,2026-01-01T05:30:00+08:00,2,20.0,0.0,256.0,2026-01-01T06:45:00+08:00,5,True
task-00037,2026-01-01T05:30:00+08:00,1,40.0,16.0,256.0,2026-01-01T07:15:00+08:00,2,True
task-00038,2026-01-01T05:45:00+08:00,2,60.0,12.0,192.0,2026-01-01T09:15:00+08:00,5,True
task-00039,2026-01-01T05:45:00+08:00,2,20.0,0.0,96.0,2026-01-01T06:30:00+08:00,1,True
task-00040,2026-01-01T06:00:00+08:00,1,20.0,0.0,32.0,2026-01-01T06:15:00+08:00,5,False
task-00041,2026-01-01T06:15:00+08:00,2,120.0,0.0,64.0,2026-01-01T07:00:00+08:00,4,False
task-00042,2026-01-01T06:15:00+08:00,2,160.0,16.0,32.0,2026-01-01T07:00:00+08:00,0,False
task-00043,2026-01-01T06:15:00+08:00,6,120.0,0.0,192.0,2026-01-01T08:45:00+08:00,3,True
task-00044,2026-01-01T06:15:00+08:00,3,20.0,16.0,64.0,2026-01-01T07:45:00+08:00,4,True
task-00045,2026-01-01T06:15:00+08:00,2,20.0,12.0,192.0,2026-01-01T09:45:00+08:00,5,True
task-00046,2026-01-01T06:15:00+08:00,1,160.0,0.0,64.0,2026-01-01T07:30:00+08:00,1,True
task-00047,2026-01-01T06:15:00+08:00,2,40.0,16.0,64.0,2026-01-01T07:45:00+08:00,4,True
task-00048,2026-01-01T06:30:00+08:00,2,80.0,0.0,192.0,2026-01-01T08:00:00+08:00,2,True
task-00049,2026-01-01T07:00:00+08:00,2,60.0,0.0,256.0,2026-01-01T07:30:00+08:00,2,False
task-00050,2026-01-01T07:00:00+08:00,1,160.0,0.0,128.0,2026-01-01T08:45:00+08:00,5,True
task-00051,2026-01-01T07:15:00+08:00,1,20.0,8.0,256.0,2026-01-01T08:15:00+08:00,2,True
task-00052,2026-01-01T07:15:00+08:00,3,80.0,0.0,32.0,2026-01-01T10:00:00+08:00,4,True
task-00053,2026-01-01T07:30:00+08:00,2,160.0,0.0,192.0,2026-01-01T10:00:00+08:00,5,True
task-00054,2026-01-01T07:30:00+08:00,2,160.0,0.0,96.0,2026-01-01T08:30:00+08:00,0,False
task-00055,2026-01-01T07:30:00+08:00,3,120.0,0.0,128.0,2026-01-01T09:15:00+08:00,1,True
task-00056,2026-01-01T07:30:00+08:00,3,120.0,16.0,32.0,2026-01-01T08:45:00+08:00,0,True
task-00057,2026-01-01T07:30:00+08:00,2,20.0,0.0,64.0,2026-01-01T08:15:00+08:00,2,False
task-00058,2026-01-01T07:30:00+08:00,2,40.0,12.0,128.0,2026-01-01T08:15:00+08:00,1,False
task-00059,2026-01-01T07:45:00+08:00,4,60.0,0.0,64.0,2026-01-01T09:30:00+08:00,0,True
task-00060,2026-01-01T07:45:00+08:00,2,60.0,0.0,64.0,2026-01-01T08:45:00+08:00,1,False
task-00061,2026-01-01T07:45:00+08:00,6,120.0,4.0,256.0,2026-01-01T09:30:00+08:00,1,False
task-00062,2026-01-01T07:45:00+08:00,2,20.0,0.0,32.0,2026-01-01T09:15:00+08:00,1,True
task-00063,2026-01-01T08:00:00+08:00,1,60.0,0.0,64.0,2026-01-01T09:45:00+08:00,0,True
task-00064,2026-01-01T08:00:00+08:00,3,20.0,0.0,64.0,2026-01-01T09:45:00+08:00,3,True
task-00065,2026-01-01T08:00:00+08:00,6,40.0,0.0,128.0,2026-01-01T10:00:00+08:00,5,True
